,fecha,humedad,precipitacion,temperatura
0,2023-01-01,98.0,22.6,12.01
1,2023-01-02,90.0,1.1,10.98
2,2023-01-03,86.0,0.0,12.01
3,2023-01-04,91.0,0.0,14.55
4,2023-01-05,95.0,0.0,12.99
5,2023-01-06,79.0,0.0,13.61
6,2023-01-07,96.0,26.2,13.32
7,2023-01-08,95.0,6.8,12.89
8,2023-01-09,77.0,0.0,12.61
9,2023-01-10,93.0,4.8,14.6
10,2023-01-11,88.0,0.5,13.4
11,2023-01-12,90.0,1.7,12.88
12,2023-01-13,97.0,10.2,14.14
13,2023-01-14,93.0,9.4,14.75
14,2023-01-15,85.0,8.9,10.85
15,2023-01-16,100.0,14.7,13.47
16,2023-01-17,89.0,9.8,9.98
17,2023-01-18,76.0,4.9,10.08
18,2023-01-19,96.0,17.5,11.79
19,2023-01-20,100.0,1.4,13.39
20,2023-01-21,93.0,1.4,12.34
21,2023-01-22,80.0,0.0,8.32
22,2023-01-23,75.0,0.0,7.63
23,2023-01-24,71.0,0.0,10.07
24,2023-01-25,76.0,0.0,10.44
25,2023-01-26,86.0,6.8,10.86
26,2023-01-27,78.0,0.0,10.1
27,2023-01-28,79.0,0.0,8.86
28,2023-01-29,67.0,0.0,9.47
29,2023-01-30,76.0,0.0,8.14
30,2023-01-31,81.0,0.0,8.58
31,2023-02-01,83.0,0.0,10.39
32,2023-02-02,79.0,0.0,9.8
33,2023-02-03,83.0,0.0,9.78
34,2023-02-04,89.0,0.0,9.31
35,2023-02-05,82.0,0.0,10.3
36,2023-02-06,68.0,0.0,10.2
37,2023-02-07,71.0,0.4,8.67
38,2023-02-08,68.0,0.0,10.13
39,2023-02-09,79.0,0.0,10.15
40,2023-02-10,76.0,0.0,9.71
41,2023-02-11,63.0,0.0,9.58
42,2023-02-12,43.0,0.0,11.87
43,2023-02-13,47.0,0.0,14.81
44,2023-02-14,53.0,0.0,15.16
45,2023-02-15,72.0,0.0,13.54
46,2023-02-16,98.0,0.0,12.28
47,2023-02-17,96.0,0.0,11.56
48,2023-02-18,93.0,0.0,12.33
49,2023-02-19,91.0,0.0,12.14
50,2023-02-20,81.0,0.0,14.14
51,2023-02-21,93.0,3.5,13.83
52,2023-02-22,96.0,4.2,10.87
53,2023-02-23,91.0,7.6,8.02
54,2023-02-24,100.0,10.6,6.42
55,2023-02-25,98.0,1.9,8.71
56,2023-02-26,82.0,0.0,9.35
57,2023-02-27,55.0,0.0,8.41
58,2023-02-28,57.0,0.0,8.79
59,2023-03-01,75.0,2.4,8.04
60,2023-03-02,78.0,0.0,7.94
61,2023-03-03,79.0,0.0,8.76
62,2023-03-04,77.0,0.0,10.38
63,2023-03-05,79.0,0.0,10.55
64,2023-03-06,94.0,0.4,11.44
65,2023-03-07,87.0,0.7,14.64
66,2023-03-08,91.0,4.0,16.61
