,time,sky_state,temperature,precipitation,humidity
0,2025-05-11T00:00:00+02,WEAK_SHOWERS,12,0.48,86.97
1,2025-05-11T01:00:00+02,OVERCAST_AND_SHOWERS,12,1.28,87.88
2,2025-05-11T02:00:00+02,WEAK_SHOWERS,12,1.79,88.84
3,2025-05-11T03:00:00+02,RAIN,12,3.12,93.89
4,2025-05-11T04:00:00+02,RAIN,12,3.97,92.42
5,2025-05-11T05:00:00+02,SHOWERS,12,2.79,88.14
6,2025-05-11T06:00:00+02,RAIN,13,2.49,87.56
7,2025-05-11T07:00:00+02,OVERCAST_AND_SHOWERS,13,2.44,89.62
8,2025-05-11T08:00:00+02,OVERCAST_AND_SHOWERS,13,2.26,88.95
9,2025-05-11T09:00:00+02,RAIN,13,2.56,90.04
10,2025-05-11T10:00:00+02,OVERCAST_AND_SHOWERS,13,2.58,87.35
11,2025-05-11T11:00:00+02,SHOWERS,15,2.16,86.78
12,2025-05-11T12:00:00+02,SHOWERS,15,2.52,86.15
13,2025-05-11T13:00:00+02,SHOWERS,14,2.59,79.12
14,2025-05-11T14:00:00+02,OVERCAST_AND_SHOWERS,15,2.88,82.0
15,2025-05-11T15:00:00+02,SHOWERS,16,2.2,70.79
16,2025-05-11T16:00:00+02,WEAK_SHOWERS,16,1.7,70.74
17,2025-05-11T17:00:00+02,WEAK_SHOWERS,17,1.2,69.09
18,2025-05-11T18:00:00+02,WEAK_SHOWERS,16,0.9,68.84
19,2025-05-11T19:00:00+02,WEAK_SHOWERS,15,0.1,73.24
20,2025-05-11T20:00:00+02,PARTLY_CLOUDY,15,0.0,78.41
21,2025-05-11T21:00:00+02,WEAK_SHOWERS,13,0.2,85.68
22,2025-05-11T22:00:00+02,WEAK_SHOWERS,12,0.2,86.01
23,2025-05-11T23:00:00+02,PARTLY_CLOUDY,12,0.0,87.78
