time,sky_state,temperature,precipitation,humidity,hora,hour,city
2025-05-14 00:00:00+02:00,SUNNY,9,0.0,95.71,0,00:00,Coruña
2025-05-14 01:00:00+02:00,PARTLY_CLOUDY,9,0.0,98.82,1,01:00,Coruña
2025-05-14 02:00:00+02:00,SUNNY,8,0.0,100.0,2,02:00,Coruña
2025-05-14 03:00:00+02:00,SUNNY,8,0.0,100.0,3,03:00,Coruña
2025-05-14 04:00:00+02:00,SUNNY,7,0.0,100.0,4,04:00,Coruña
2025-05-14 05:00:00+02:00,SUNNY,7,0.0,100.0,5,05:00,Coruña
2025-05-14 06:00:00+02:00,SUNNY,7,0.0,100.0,6,06:00,Coruña
2025-05-14 07:00:00+02:00,SUNNY,6,0.0,100.0,7,07:00,Coruña
2025-05-14 08:00:00+02:00,SUNNY,7,0.0,100.0,8,08:00,Coruña
2025-05-14 09:00:00+02:00,SUNNY,11,0.0,83.02,9,09:00,Coruña
2025-05-14 10:00:00+02:00,SUNNY,15,0.0,66.01,10,10:00,Coruña
2025-05-14 11:00:00+02:00,SUNNY,16,0.0,62.1,11,11:00,Coruña
2025-05-14 12:00:00+02:00,SUNNY,16,0.0,57.49,12,12:00,Coruña
2025-05-14 13:00:00+02:00,SUNNY,17,0.0,56.25,13,13:00,Coruña
2025-05-14 14:00:00+02:00,SUNNY,17,0.0,56.07,14,14:00,Coruña
2025-05-14 15:00:00+02:00,SUNNY,17,0.0,56.62,15,15:00,Coruña
2025-05-14 16:00:00+02:00,SUNNY,17,0.0,62.15,16,16:00,Coruña
2025-05-14 17:00:00+02:00,SUNNY,16,0.0,64.41,17,17:00,Coruña
2025-05-14 18:00:00+02:00,SUNNY,16,0.0,67.05,18,18:00,Coruña
2025-05-14 19:00:00+02:00,PARTLY_CLOUDY,15,0.0,69.06,19,19:00,Coruña
2025-05-14 20:00:00+02:00,PARTLY_CLOUDY,15,0.0,75.73,20,20:00,Coruña
2025-05-14 21:00:00+02:00,PARTLY_CLOUDY,14,0.0,84.55,21,21:00,Coruña
2025-05-14 22:00:00+02:00,PARTLY_CLOUDY,12,0.0,91.36,22,22:00,Coruña
2025-05-14 23:00:00+02:00,PARTLY_CLOUDY,11,0.0,95.41,23,23:00,Coruña
2025-05-14 00:00:00+02:00,WEAK_SHOWERS,9,0.11,96.89,0,00:00,Lugo
2025-05-14 01:00:00+02:00,OVERCAST_AND_SHOWERS,9,0.18,96.92,1,01:00,Lugo
2025-05-14 02:00:00+02:00,OVERCAST_AND_SHOWERS,9,0.26,95.29,2,02:00,Lugo
2025-05-14 03:00:00+02:00,WEAK_SHOWERS,8,0.28,97.75,3,03:00,Lugo
2025-05-14 04:00:00+02:00,WEAK_SHOWERS,7,0.15,100.0,4,04:00,Lugo
2025-05-14 05:00:00+02:00,PARTLY_CLOUDY,6,0.0,100.0,5,05:00,Lugo
2025-05-14 06:00:00+02:00,CLOUDY,7,0.0,100.0,6,06:00,Lugo
2025-05-14 07:00:00+02:00,CLOUDY,8,0.0,99.05,7,07:00,Lugo
2025-05-14 08:00:00+02:00,WEAK_SHOWERS,7,0.1,100.0,8,08:00,Lugo
2025-05-14 09:00:00+02:00,CLOUDY,9,0.0,92.78,9,09:00,Lugo
2025-05-14 10:00:00+02:00,CLOUDY,10,0.0,88.0,10,10:00,Lugo
2025-05-14 11:00:00+02:00,CLOUDY,10,0.0,84.1,11,11:00,Lugo
2025-05-14 12:00:00+02:00,CLOUDY,11,0.0,80.49,12,12:00,Lugo
2025-05-14 13:00:00+02:00,CLOUDY,12,0.0,76.94,13,13:00,Lugo
2025-05-14 14:00:00+02:00,CLOUDY,13,0.0,69.64,14,14:00,Lugo
2025-05-14 15:00:00+02:00,CLOUDY,15,0.0,62.26,15,15:00,Lugo
2025-05-14 16:00:00+02:00,PARTLY_CLOUDY,15,0.0,61.75,16,16:00,Lugo
2025-05-14 17:00:00+02:00,CLOUDY,15,0.0,59.94,17,17:00,Lugo
2025-05-14 18:00:00+02:00,PARTLY_CLOUDY,14,0.0,68.01,18,18:00,Lugo
2025-05-14 19:00:00+02:00,SUNNY,15,0.0,61.73,19,19:00,Lugo
2025-05-14 20:00:00+02:00,PARTLY_CLOUDY,13,0.0,69.93,20,20:00,Lugo
2025-05-14 21:00:00+02:00,CLOUDY,11,0.0,80.63,21,21:00,Lugo
2025-05-14 22:00:00+02:00,CLOUDY,10,0.0,87.52,22,22:00,Lugo
2025-05-14 23:00:00+02:00,PARTLY_CLOUDY,9,0.0,94.58,23,23:00,Lugo
2025-05-14 00:00:00+02:00,SUNNY,10,0.0,89.33,0,00:00,Ourense
2025-05-14 01:00:00+02:00,PARTLY_CLOUDY,9,0.0,96.07,1,01:00,Ourense
2025-05-14 02:00:00+02:00,PARTLY_CLOUDY,8,0.0,97.65,2,02:00,Ourense
2025-05-14 03:00:00+02:00,CLOUDY,9,0.0,96.31,3,03:00,Ourense
2025-05-14 04:00:00+02:00,CLOUDY,9,0.0,89.17,4,04:00,Ourense
2025-05-14 05:00:00+02:00,CLOUDY,9,0.0,88.96,5,05:00,Ourense
2025-05-14 06:00:00+02:00,CLOUDY,10,0.0,89.19,6,06:00,Ourense
2025-05-14 07:00:00+02:00,CLOUDY,10,0.0,89.52,7,07:00,Ourense
2025-05-14 08:00:00+02:00,CLOUDY,10,0.0,90.6,8,08:00,Ourense
2025-05-14 09:00:00+02:00,CLOUDY,10,0.0,87.93,9,09:00,Ourense
2025-05-14 10:00:00+02:00,CLOUDY,11,0.0,79.56,10,10:00,Ourense
2025-05-14 11:00:00+02:00,CLOUDY,13,0.0,72.24,11,11:00,Ourense
2025-05-14 12:00:00+02:00,CLOUDY,16,0.0,55.91,12,12:00,Ourense
2025-05-14 13:00:00+02:00,PARTLY_CLOUDY,18,0.0,48.58,13,13:00,Ourense
2025-05-14 14:00:00+02:00,PARTLY_CLOUDY,19,0.0,44.68,14,14:00,Ourense
2025-05-14 15:00:00+02:00,SUNNY,20,0.0,38.99,15,15:00,Ourense
2025-05-14 16:00:00+02:00,SUNNY,21,0.0,34.15,16,16:00,Ourense
2025-05-14 17:00:00+02:00,PARTLY_CLOUDY,19,0.0,40.92,17,17:00,Ourense
2025-05-14 18:00:00+02:00,PARTLY_CLOUDY,19,0.0,39.62,18,18:00,Ourense
2025-05-14 19:00:00+02:00,PARTLY_CLOUDY,19,0.0,44.96,19,19:00,Ourense
2025-05-14 20:00:00+02:00,OVERCAST,17,0.0,57.0,20,20:00,Ourense
2025-05-14 21:00:00+02:00,WEAK_SHOWERS,15,0.4,69.25,21,21:00,Ourense
2025-05-14 22:00:00+02:00,PARTLY_CLOUDY,14,0.0,75.66,22,22:00,Ourense
2025-05-14 23:00:00+02:00,SUNNY,12,0.0,85.19,23,23:00,Ourense
2025-05-14 00:00:00+02:00,PARTLY_CLOUDY,10,0.0,98.01,0,00:00,Pontevedra
2025-05-14 01:00:00+02:00,PARTLY_CLOUDY,10,0.0,99.56,1,01:00,Pontevedra
2025-05-14 02:00:00+02:00,CLOUDY,10,0.0,100.0,2,02:00,Pontevedra
2025-05-14 03:00:00+02:00,PARTLY_CLOUDY,9,0.0,100.0,3,03:00,Pontevedra
2025-05-14 04:00:00+02:00,PARTLY_CLOUDY,8,0.0,100.0,4,04:00,Pontevedra
2025-05-14 05:00:00+02:00,SUNNY,8,0.0,100.0,5,05:00,Pontevedra
2025-05-14 06:00:00+02:00,SUNNY,7,0.0,100.0,6,06:00,Pontevedra
2025-05-14 07:00:00+02:00,SUNNY,7,0.0,100.0,7,07:00,Pontevedra
2025-05-14 08:00:00+02:00,SUNNY,7,0.0,99.05,8,08:00,Pontevedra
2025-05-14 09:00:00+02:00,SUNNY,11,0.0,82.38,9,09:00,Pontevedra
2025-05-14 10:00:00+02:00,SUNNY,14,0.0,71.92,10,10:00,Pontevedra
2025-05-14 11:00:00+02:00,SUNNY,16,0.0,60.14,11,11:00,Pontevedra
2025-05-14 12:00:00+02:00,SUNNY,18,0.0,51.31,12,12:00,Pontevedra
2025-05-14 13:00:00+02:00,SUNNY,19,0.0,44.87,13,13:00,Pontevedra
2025-05-14 14:00:00+02:00,PARTLY_CLOUDY,19,0.0,42.11,14,14:00,Pontevedra
2025-05-14 15:00:00+02:00,CLOUDY,18,0.0,47.97,15,15:00,Pontevedra
2025-05-14 16:00:00+02:00,CLOUDY,20,0.0,48.16,16,16:00,Pontevedra
2025-05-14 17:00:00+02:00,PARTLY_CLOUDY,19,0.0,50.22,17,17:00,Pontevedra
2025-05-14 18:00:00+02:00,PARTLY_CLOUDY,19,0.0,52.02,18,18:00,Pontevedra
2025-05-14 19:00:00+02:00,CLOUDY,18,0.0,55.34,19,19:00,Pontevedra
2025-05-14 20:00:00+02:00,CLOUDY,17,0.0,64.95,20,20:00,Pontevedra
2025-05-14 21:00:00+02:00,CLOUDY,15,0.0,75.71,21,21:00,Pontevedra
2025-05-14 22:00:00+02:00,PARTLY_CLOUDY,14,0.0,77.48,22,22:00,Pontevedra
2025-05-14 23:00:00+02:00,SUNNY,12,0.0,85.22,23,23:00,Pontevedra
2025-05-14 00:00:00+02:00,PARTLY_CLOUDY,10,0.0,99.32,0,00:00,Santiago de Compostela
2025-05-14 01:00:00+02:00,PARTLY_CLOUDY,8,0.0,100.0,1,01:00,Santiago de Compostela
2025-05-14 02:00:00+02:00,PARTLY_CLOUDY,8,0.0,100.0,2,02:00,Santiago de Compostela
2025-05-14 03:00:00+02:00,CLOUDY,7,0.0,98.91,3,03:00,Santiago de Compostela
2025-05-14 04:00:00+02:00,PARTLY_CLOUDY,6,0.0,100.0,4,04:00,Santiago de Compostela
2025-05-14 05:00:00+02:00,PARTLY_CLOUDY,6,0.0,100.0,5,05:00,Santiago de Compostela
2025-05-14 06:00:00+02:00,PARTLY_CLOUDY,7,0.0,100.0,6,06:00,Santiago de Compostela
2025-05-14 07:00:00+02:00,SUNNY,7,0.0,100.0,7,07:00,Santiago de Compostela
2025-05-14 08:00:00+02:00,PARTLY_CLOUDY,7,0.0,100.0,8,08:00,Santiago de Compostela
2025-05-14 09:00:00+02:00,PARTLY_CLOUDY,8,0.0,97.25,9,09:00,Santiago de Compostela
2025-05-14 10:00:00+02:00,PARTLY_CLOUDY,9,0.0,90.6,10,10:00,Santiago de Compostela
2025-05-14 11:00:00+02:00,SUNNY,12,0.0,63.61,11,11:00,Santiago de Compostela
2025-05-14 12:00:00+02:00,SUNNY,14,0.0,51.49,12,12:00,Santiago de Compostela
2025-05-14 13:00:00+02:00,PARTLY_CLOUDY,15,0.0,44.86,13,13:00,Santiago de Compostela
2025-05-14 14:00:00+02:00,CLOUDY,15,0.0,41.36,14,14:00,Santiago de Compostela
2025-05-14 15:00:00+02:00,CLOUDY,16,0.0,43.75,15,15:00,Santiago de Compostela
2025-05-14 16:00:00+02:00,OVERCAST_AND_SHOWERS,15,0.18,64.09,16,16:00,Santiago de Compostela
2025-05-14 17:00:00+02:00,PARTLY_CLOUDY,16,0.0,58.42,17,17:00,Santiago de Compostela
2025-05-14 18:00:00+02:00,OVERCAST,15,0.0,66.77,18,18:00,Santiago de Compostela
2025-05-14 19:00:00+02:00,OVERCAST_AND_SHOWERS,14,0.19,75.88,19,19:00,Santiago de Compostela
2025-05-14 20:00:00+02:00,PARTLY_CLOUDY,13,0.0,72.58,20,20:00,Santiago de Compostela
2025-05-14 21:00:00+02:00,PARTLY_CLOUDY,12,0.0,79.03,21,21:00,Santiago de Compostela
2025-05-14 22:00:00+02:00,CLOUDY,11,0.0,86.62,22,22:00,Santiago de Compostela
2025-05-14 23:00:00+02:00,PARTLY_CLOUDY,10,0.0,88.13,23,23:00,Santiago de Compostela
2025-05-14 00:00:00+02:00,WEAK_SHOWERS,10,0.12,99.22,0,00:00,Vigo
2025-05-14 01:00:00+02:00,WEAK_SHOWERS,9,0.13,100.0,1,01:00,Vigo
2025-05-14 02:00:00+02:00,WEAK_SHOWERS,9,0.13,100.0,2,02:00,Vigo
2025-05-14 03:00:00+02:00,WEAK_SHOWERS,8,0.15,100.0,3,03:00,Vigo
2025-05-14 04:00:00+02:00,PARTLY_CLOUDY,8,0.0,100.0,4,04:00,Vigo
2025-05-14 05:00:00+02:00,SUNNY,7,0.0,100.0,5,05:00,Vigo
2025-05-14 06:00:00+02:00,SUNNY,7,0.0,100.0,6,06:00,Vigo
2025-05-14 07:00:00+02:00,SUNNY,7,0.0,100.0,7,07:00,Vigo
2025-05-14 08:00:00+02:00,SUNNY,7,0.0,100.0,8,08:00,Vigo
2025-05-14 09:00:00+02:00,SUNNY,11,0.0,82.42,9,09:00,Vigo
2025-05-14 10:00:00+02:00,SUNNY,15,0.0,66.5,10,10:00,Vigo
2025-05-14 11:00:00+02:00,SUNNY,16,0.0,60.44,11,11:00,Vigo
2025-05-14 12:00:00+02:00,PARTLY_CLOUDY,17,0.0,53.29,12,12:00,Vigo
2025-05-14 13:00:00+02:00,PARTLY_CLOUDY,18,0.0,53.31,13,13:00,Vigo
2025-05-14 14:00:00+02:00,SUNNY,18,0.0,53.5,14,14:00,Vigo
2025-05-14 15:00:00+02:00,SUNNY,18,0.0,49.95,15,15:00,Vigo
2025-05-14 16:00:00+02:00,SUNNY,17,0.0,51.67,16,16:00,Vigo
2025-05-14 17:00:00+02:00,SUNNY,17,0.0,56.66,17,17:00,Vigo
2025-05-14 18:00:00+02:00,SUNNY,16,0.0,60.48,18,18:00,Vigo
2025-05-14 19:00:00+02:00,SUNNY,16,0.0,64.3,19,19:00,Vigo
