,time,sky_state,temperature,precipitation,humidity
0,2025-05-11T00:00:00+02,SUNNY,6,0.0,100.0
1,2025-05-11T01:00:00+02,PARTLY_CLOUDY,5,0.0,100.0
2,2025-05-11T02:00:00+02,PARTLY_CLOUDY,5,0.0,100.0
3,2025-05-11T03:00:00+02,PARTLY_CLOUDY,5,0.0,100.0
4,2025-05-11T04:00:00+02,WEAK_SHOWERS,6,0.48,100.0
5,2025-05-11T05:00:00+02,DRIZZLE,8,0.72,95.46
6,2025-05-11T06:00:00+02,WEAK_RAIN,8,1.91,92.81
7,2025-05-11T07:00:00+02,WEAK_RAIN,9,1.17,92.67
8,2025-05-11T08:00:00+02,OVERCAST_AND_SHOWERS,9,0.29,90.75
9,2025-05-11T09:00:00+02,DRIZZLE,10,0.34,90.57
10,2025-05-11T10:00:00+02,DRIZZLE,10,0.46,89.05
11,2025-05-11T11:00:00+02,DRIZZLE,10,0.35,89.3
12,2025-05-11T12:00:00+02,WEAK_SHOWERS,13,0.61,78.21
13,2025-05-11T13:00:00+02,WEAK_RAIN,11,1.99,84.89
14,2025-05-11T14:00:00+02,WEAK_SHOWERS,14,1.27,68.81
15,2025-05-11T15:00:00+02,OVERCAST_AND_SHOWERS,14,1.3,69.08
16,2025-05-11T16:00:00+02,WEAK_SHOWERS,15,0.6,60.5
17,2025-05-11T17:00:00+02,DRIZZLE,13,0.7,74.18
18,2025-05-11T18:00:00+02,WEAK_SHOWERS,14,0.3,58.83
19,2025-05-11T19:00:00+02,SUNNY,13,0.0,66.66
20,2025-05-11T20:00:00+02,SUNNY,13,0.0,67.38
21,2025-05-11T21:00:00+02,PARTLY_CLOUDY,11,0.0,76.48
22,2025-05-11T22:00:00+02,SUNNY,9,0.0,90.78
23,2025-05-11T23:00:00+02,PARTLY_CLOUDY,8,0.0,98.11
