,time,sky_state,temperature,precipitation,humidity
0,2025-05-11T00:00:00+02,SUNNY,11,0.0,81.45
1,2025-05-11T01:00:00+02,SUNNY,9,0.0,93.13
2,2025-05-11T02:00:00+02,SUNNY,8,0.0,98.37
3,2025-05-11T03:00:00+02,SUNNY,7,0.0,99.72
4,2025-05-11T04:00:00+02,PARTLY_CLOUDY,6,0.0,99.75
5,2025-05-11T05:00:00+02,PARTLY_CLOUDY,6,0.0,99.74
6,2025-05-11T06:00:00+02,PARTLY_CLOUDY,7,0.0,98.54
7,2025-05-11T07:00:00+02,PARTLY_CLOUDY,7,0.0,98.59
8,2025-05-11T08:00:00+02,OVERCAST,8,0.0,94.14
9,2025-05-11T09:00:00+02,DRIZZLE,9,0.32,91.2
10,2025-05-11T10:00:00+02,OVERCAST_AND_SHOWERS,10,0.36,86.55
11,2025-05-11T11:00:00+02,CLOUDY,12,0.0,78.79
12,2025-05-11T12:00:00+02,WEAK_SHOWERS,15,0.19,63.52
13,2025-05-11T13:00:00+02,WEAK_SHOWERS,16,0.59,54.82
14,2025-05-11T14:00:00+02,WEAK_SHOWERS,18,0.12,50.32
15,2025-05-11T15:00:00+02,PARTLY_CLOUDY,18,0.0,47.22
16,2025-05-11T16:00:00+02,OVERCAST_AND_SHOWERS,16,0.2,57.41
17,2025-05-11T17:00:00+02,OVERCAST_AND_SHOWERS,18,0.2,50.27
18,2025-05-11T18:00:00+02,CLOUDY,16,0.0,59.03
19,2025-05-11T19:00:00+02,CLOUDY,16,0.0,56.28
20,2025-05-11T20:00:00+02,OVERCAST,15,0.0,62.86
21,2025-05-11T21:00:00+02,PARTLY_CLOUDY,13,0.0,74.86
22,2025-05-11T22:00:00+02,PARTLY_CLOUDY,12,0.0,79.3
23,2025-05-11T23:00:00+02,SUNNY,10,0.0,92.65
