,time,sky_state,temperature,precipitation,humidity
0,2025-05-11T00:00:00+02,PARTLY_CLOUDY,8,0.0,100.0
1,2025-05-11T01:00:00+02,PARTLY_CLOUDY,7,0.0,100.0
2,2025-05-11T02:00:00+02,CLOUDY,8,0.0,100.0
3,2025-05-11T03:00:00+02,PARTLY_CLOUDY,8,0.0,99.37
4,2025-05-11T04:00:00+02,WEAK_SHOWERS,9,0.14,99.88
5,2025-05-11T05:00:00+02,WEAK_SHOWERS,9,0.75,96.27
6,2025-05-11T06:00:00+02,DRIZZLE,10,0.75,95.73
7,2025-05-11T07:00:00+02,OVERCAST_AND_SHOWERS,10,0.48,95.0
8,2025-05-11T08:00:00+02,WEAK_SHOWERS,10,0.31,94.17
9,2025-05-11T09:00:00+02,WEAK_SHOWERS,10,0.27,91.29
10,2025-05-11T10:00:00+02,WEAK_SHOWERS,11,0.36,87.55
11,2025-05-11T11:00:00+02,WEAK_SHOWERS,12,0.26,78.33
12,2025-05-11T12:00:00+02,WEAK_SHOWERS,12,0.66,76.42
13,2025-05-11T13:00:00+02,WEAK_SHOWERS,13,0.58,72.34
14,2025-05-11T14:00:00+02,OVERCAST_AND_SHOWERS,13,0.81,69.29
15,2025-05-11T15:00:00+02,WEAK_RAIN,15,1.0,72.19
16,2025-05-11T16:00:00+02,WEAK_RAIN,16,1.2,68.44
17,2025-05-11T17:00:00+02,WEAK_RAIN,15,1.2,74.79
18,2025-05-11T18:00:00+02,OVERCAST_AND_SHOWERS,15,0.5,68.28
19,2025-05-11T19:00:00+02,WEAK_SHOWERS,15,0.2,63.47
20,2025-05-11T20:00:00+02,PARTLY_CLOUDY,14,0.0,68.3
21,2025-05-11T21:00:00+02,PARTLY_CLOUDY,12,0.0,80.69
22,2025-05-11T22:00:00+02,PARTLY_CLOUDY,11,0.0,89.4
23,2025-05-11T23:00:00+02,WEAK_SHOWERS,10,0.1,96.88
