,time,sky_state,temperature,precipitation,humidity
0,2025-05-11T00:00:00+02,WEAK_SHOWERS,10,0.17,97.83
1,2025-05-11T01:00:00+02,WEAK_SHOWERS,10,0.49,100.0
2,2025-05-11T02:00:00+02,PARTLY_CLOUDY,10,0.0,100.0
3,2025-05-11T03:00:00+02,WEAK_SHOWERS,9,0.57,93.94
4,2025-05-11T04:00:00+02,WEAK_SHOWERS,9,0.85,86.35
5,2025-05-11T05:00:00+02,SUNNY,10,0.0,89.08
6,2025-05-11T06:00:00+02,WEAK_SHOWERS,12,0.11,88.99
7,2025-05-11T07:00:00+02,DRIZZLE,12,0.11,87.81
8,2025-05-11T08:00:00+02,WEAK_SHOWERS,12,0.23,82.19
9,2025-05-11T09:00:00+02,DRIZZLE,13,0.25,81.74
10,2025-05-11T10:00:00+02,OVERCAST_AND_SHOWERS,13,0.99,83.87
11,2025-05-11T11:00:00+02,OVERCAST_AND_SHOWERS,14,0.63,80.29
12,2025-05-11T12:00:00+02,OVERCAST_AND_SHOWERS,15,0.95,73.31
13,2025-05-11T13:00:00+02,WEAK_SHOWERS,15,0.5,65.35
14,2025-05-11T14:00:00+02,WEAK_SHOWERS,17,1.1,79.18
15,2025-05-11T15:00:00+02,OVERCAST_AND_SHOWERS,17,0.2,68.31
16,2025-05-11T16:00:00+02,DRIZZLE,17,0.1,72.56
17,2025-05-11T17:00:00+02,OVERCAST_AND_SHOWERS,16,0.3,68.77
18,2025-05-11T18:00:00+02,PARTLY_CLOUDY,16,0.0,69.54
19,2025-05-11T19:00:00+02,OVERCAST_AND_SHOWERS,15,0.1,76.53
20,2025-05-11T20:00:00+02,WEAK_SHOWERS,15,0.2,77.68
21,2025-05-11T21:00:00+02,WEAK_SHOWERS,14,0.1,83.27
22,2025-05-11T22:00:00+02,PARTLY_CLOUDY,13,0.0,89.08
23,2025-05-11T23:00:00+02,WEAK_SHOWERS,12,0.1,96.32
