,time,sky_state,temperature,precipitation,humidity
0,2025-06-04T00:00:00+02,PARTLY_CLOUDY,13,0.0,90.99
1,2025-06-04T01:00:00+02,CLOUDY,13,0.0,91.79
2,2025-06-04T02:00:00+02,PARTLY_CLOUDY,12,0.0,99.31
3,2025-06-04T03:00:00+02,PARTLY_CLOUDY,11,0.0,100.0
4,2025-06-04T04:00:00+02,CLOUDY,12,0.0,98.96
5,2025-06-04T05:00:00+02,WEAK_SHOWERS,12,0.21,100.0
6,2025-06-04T06:00:00+02,PARTLY_CLOUDY,10,0.0,100.0
7,2025-06-04T07:00:00+02,PARTLY_CLOUDY,10,0.0,100.0
8,2025-06-04T08:00:00+02,WEAK_SHOWERS,11,0.21,100.0
9,2025-06-04T09:00:00+02,WEAK_SHOWERS,12,0.18,96.3
10,2025-06-04T10:00:00+02,CLOUDY,14,0.0,81.56
11,2025-06-04T11:00:00+02,PARTLY_CLOUDY,15,0.0,70.64
12,2025-06-04T12:00:00+02,SUNNY,17,0.0,54.24
13,2025-06-04T13:00:00+02,SUNNY,18,0.0,50.22
14,2025-06-04T14:00:00+02,SUNNY,19,0.0,47.43
15,2025-06-04T15:00:00+02,SUNNY,20,0.0,47.73
16,2025-06-04T16:00:00+02,HIGH_CLOUDS,19,0.0,44.69
17,2025-06-04T17:00:00+02,SUNNY,20,0.0,46.69
18,2025-06-04T18:00:00+02,SUNNY,19,0.0,49.37
19,2025-06-04T19:00:00+02,PARTLY_CLOUDY,19,0.0,53.13
20,2025-06-04T20:00:00+02,PARTLY_CLOUDY,18,0.0,55.11
21,2025-06-04T21:00:00+02,PARTLY_CLOUDY,16,0.0,70.47
22,2025-06-04T22:00:00+02,PARTLY_CLOUDY,15,0.0,83.06
23,2025-06-04T23:00:00+02,CLOUDY,14,0.0,87.95
