,time,sky_state,temperature,precipitation,humidity
0,2025-05-14T00:00:00+02,SUNNY,10,0.0,89.33
1,2025-05-14T01:00:00+02,PARTLY_CLOUDY,9,0.0,96.07
2,2025-05-14T02:00:00+02,PARTLY_CLOUDY,8,0.0,97.65
3,2025-05-14T03:00:00+02,CLOUDY,9,0.0,96.31
4,2025-05-14T04:00:00+02,CLOUDY,9,0.0,89.17
5,2025-05-14T05:00:00+02,CLOUDY,9,0.0,88.96
6,2025-05-14T06:00:00+02,CLOUDY,10,0.0,89.19
7,2025-05-14T07:00:00+02,CLOUDY,10,0.0,89.52
8,2025-05-14T08:00:00+02,CLOUDY,10,0.0,90.6
9,2025-05-14T09:00:00+02,CLOUDY,10,0.0,87.93
10,2025-05-14T10:00:00+02,CLOUDY,11,0.0,79.56
11,2025-05-14T11:00:00+02,CLOUDY,13,0.0,72.24
12,2025-05-14T12:00:00+02,CLOUDY,16,0.0,55.91
13,2025-05-14T13:00:00+02,PARTLY_CLOUDY,18,0.0,48.58
14,2025-05-14T14:00:00+02,PARTLY_CLOUDY,19,0.0,44.68
15,2025-05-14T15:00:00+02,SUNNY,20,0.0,38.99
16,2025-05-14T16:00:00+02,SUNNY,21,0.0,34.15
17,2025-05-14T17:00:00+02,PARTLY_CLOUDY,19,0.0,40.92
18,2025-05-14T18:00:00+02,PARTLY_CLOUDY,19,0.0,39.62
19,2025-05-14T19:00:00+02,PARTLY_CLOUDY,19,0.0,44.96
20,2025-05-14T20:00:00+02,OVERCAST,17,0.0,57.0
21,2025-05-14T21:00:00+02,WEAK_SHOWERS,15,0.4,69.25
22,2025-05-14T22:00:00+02,PARTLY_CLOUDY,14,0.0,75.66
23,2025-05-14T23:00:00+02,SUNNY,12,0.0,85.19
