,time,sky_state,temperature,precipitation,humidity
0,2025-06-05T00:00:00+02,PARTLY_CLOUDY,14,0.0,100.0
1,2025-06-05T01:00:00+02,WEAK_SHOWERS,15,0.1,100.0
2,2025-06-05T02:00:00+02,WEAK_SHOWERS,15,0.15,100.0
3,2025-06-05T03:00:00+02,WEAK_SHOWERS,15,0.17,100.0
4,2025-06-05T04:00:00+02,PARTLY_CLOUDY,15,0.0,100.0
5,2025-06-05T05:00:00+02,PARTLY_CLOUDY,15,0.0,100.0
6,2025-06-05T06:00:00+02,CLOUDY,15,0.0,100.0
7,2025-06-05T07:00:00+02,PARTLY_CLOUDY,15,0.0,97.51
8,2025-06-05T08:00:00+02,CLOUDY,15,0.0,95.74
9,2025-06-05T09:00:00+02,CLOUDY,15,0.0,94.17
10,2025-06-05T10:00:00+02,OVERCAST_AND_SHOWERS,16,0.11,92.12
11,2025-06-05T11:00:00+02,OVERCAST_AND_SHOWERS,16,0.21,90.21
12,2025-06-05T12:00:00+02,OVERCAST_AND_SHOWERS,17,0.47,89.34
13,2025-06-05T13:00:00+02,OVERCAST_AND_SHOWERS,19,0.42,86.54
14,2025-06-05T14:00:00+02,OVERCAST_AND_SHOWERS,21,0.21,83.43
15,2025-06-05T15:00:00+02,OVERCAST_AND_SHOWERS,20,0.26,84.2
16,2025-06-05T16:00:00+02,OVERCAST_AND_SHOWERS,21,0.29,81.87
17,2025-06-05T17:00:00+02,PARTLY_CLOUDY,21,0.0,74.23
18,2025-06-05T18:00:00+02,PARTLY_CLOUDY,20,0.0,79.87
19,2025-06-05T19:00:00+02,PARTLY_CLOUDY,19,0.0,85.86
20,2025-06-05T20:00:00+02,PARTLY_CLOUDY,18,0.0,85.21
21,2025-06-05T21:00:00+02,PARTLY_CLOUDY,17,0.0,92.56
22,2025-06-05T22:00:00+02,WEAK_SHOWERS,16,0.18,95.53
23,2025-06-05T23:00:00+02,OVERCAST_AND_SHOWERS,16,0.24,96.46
