,time,sky_state,temperature,precipitation,humidity
0,2025-06-05T00:00:00+02,PARTLY_CLOUDY,14,0.0,99.36
1,2025-06-05T01:00:00+02,PARTLY_CLOUDY,13,0.0,99.06
2,2025-06-05T02:00:00+02,PARTLY_CLOUDY,13,0.0,99.08
3,2025-06-05T03:00:00+02,OVERCAST_AND_SHOWERS,13,0.11,99.36
4,2025-06-05T04:00:00+02,PARTLY_CLOUDY,13,0.0,99.34
5,2025-06-05T05:00:00+02,WEAK_SHOWERS,13,0.21,99.43
6,2025-06-05T06:00:00+02,OVERCAST_AND_SHOWERS,14,0.18,99.46
7,2025-06-05T07:00:00+02,OVERCAST_AND_SHOWERS,14,0.23,99.49
8,2025-06-05T08:00:00+02,OVERCAST_AND_SHOWERS,14,0.26,99.77
9,2025-06-05T09:00:00+02,OVERCAST_AND_SHOWERS,14,0.4,99.32
10,2025-06-05T10:00:00+02,OVERCAST_AND_SHOWERS,15,0.46,98.61
11,2025-06-05T11:00:00+02,OVERCAST_AND_SHOWERS,15,0.47,98.01
12,2025-06-05T12:00:00+02,OVERCAST_AND_SHOWERS,15,0.48,96.1
13,2025-06-05T13:00:00+02,WEAK_SHOWERS,16,0.44,89.25
14,2025-06-05T14:00:00+02,WEAK_SHOWERS,16,0.41,89.74
15,2025-06-05T15:00:00+02,OVERCAST_AND_SHOWERS,17,0.29,83.78
16,2025-06-05T16:00:00+02,WEAK_SHOWERS,18,0.99,88.82
17,2025-06-05T17:00:00+02,OVERCAST_AND_SHOWERS,17,0.82,90.25
18,2025-06-05T18:00:00+02,WEAK_SHOWERS,18,0.36,89.1
19,2025-06-05T19:00:00+02,WEAK_SHOWERS,18,0.21,84.7
20,2025-06-05T20:00:00+02,WEAK_SHOWERS,17,0.19,84.59
21,2025-06-05T21:00:00+02,WEAK_SHOWERS,16,0.21,92.8
22,2025-06-05T22:00:00+02,WEAK_SHOWERS,15,0.19,100.0
23,2025-06-05T23:00:00+02,WEAK_SHOWERS,15,0.18,100.0
