,time,sky_state,temperature,precipitation,humidity
0,2025-06-04T00:00:00+02,WEAK_SHOWERS,15,0.11,94.57
1,2025-06-04T01:00:00+02,OVERCAST_AND_SHOWERS,15,0.27,94.46
2,2025-06-04T02:00:00+02,WEAK_SHOWERS,15,0.43,95.15
3,2025-06-04T03:00:00+02,WEAK_SHOWERS,15,0.3,97.86
4,2025-06-04T04:00:00+02,DRIZZLE,15,0.25,95.91
5,2025-06-04T05:00:00+02,WEAK_SHOWERS,15,0.63,99.03
6,2025-06-04T06:00:00+02,WEAK_SHOWERS,15,0.37,97.53
7,2025-06-04T07:00:00+02,OVERCAST_AND_SHOWERS,15,0.33,98.33
8,2025-06-04T08:00:00+02,OVERCAST_AND_SHOWERS,15,0.31,97.38
9,2025-06-04T09:00:00+02,OVERCAST_AND_SHOWERS,15,0.27,93.83
10,2025-06-04T10:00:00+02,WEAK_SHOWERS,16,0.22,86.17
11,2025-06-04T11:00:00+02,PARTLY_CLOUDY,17,0.0,77.52
12,2025-06-04T12:00:00+02,SUNNY,18,0.0,64.48
13,2025-06-04T13:00:00+02,PARTLY_CLOUDY,18,0.0,63.7
14,2025-06-04T14:00:00+02,SUNNY,18,0.0,62.83
15,2025-06-04T15:00:00+02,PARTLY_CLOUDY,19,0.0,61.46
16,2025-06-04T16:00:00+02,SUNNY,19,0.0,63.72
17,2025-06-04T17:00:00+02,SUNNY,19,0.0,63.81
18,2025-06-04T18:00:00+02,SUNNY,19,0.0,69.46
19,2025-06-04T19:00:00+02,SUNNY,18,0.0,69.4
20,2025-06-04T20:00:00+02,PARTLY_CLOUDY,17,0.0,82.08
21,2025-06-04T21:00:00+02,PARTLY_CLOUDY,16,0.0,83.37
22,2025-06-04T22:00:00+02,PARTLY_CLOUDY,15,0.0,95.73
23,2025-06-04T23:00:00+02,PARTLY_CLOUDY,15,0.0,97.35
