,fecha,humedad,precipitacion,temperatura
0,2023-01-01,100.0,65.0,9.6
1,2023-01-02,91.0,0.0,5.84
2,2023-01-03,89.0,0.0,5.1
3,2023-01-04,88.0,0.0,8.34
4,2023-01-05,92.0,0.0,6.38
5,2023-01-06,85.0,0.0,5.14
6,2023-01-07,90.0,29.9,10.23
7,2023-01-08,98.0,18.1,9.45
8,2023-01-09,88.0,0.0,6.69
9,2023-01-10,91.0,2.5,10.43
10,2023-01-11,90.0,9.1,8.27
11,2023-01-12,93.0,0.0,5.89
12,2023-01-13,87.0,0.0,10.91
13,2023-01-14,83.0,5.7,11.98
14,2023-01-15,90.0,7.1,6.13
15,2023-01-16,99.0,31.7,10.32
16,2023-01-17,94.0,24.4,4.49
17,2023-01-18,98.0,16.0,2.69
18,2023-01-19,100.0,17.2,5.81
19,2023-01-20,99.0,3.4,10.1
20,2023-01-21,88.0,0.5,8.51
21,2023-01-22,88.0,0.0,2.11
22,2023-01-23,78.0,0.0,2.71
23,2023-01-24,85.0,0.0,4.67
24,2023-01-25,81.0,0.0,4.7
25,2023-01-26,96.0,5.5,5.59
26,2023-01-27,93.0,2.9,5.23
27,2023-01-28,88.0,0.0,3.94
28,2023-01-29,83.0,0.0,3.59
29,2023-01-30,86.0,0.0,1.83
30,2023-01-31,90.0,0.0,2.31
31,2023-02-01,89.0,0.0,3.55
32,2023-02-02,93.0,0.0,2.23
33,2023-02-03,85.0,0.0,3.25
34,2023-02-04,86.0,0.0,3.67
35,2023-02-05,84.0,0.0,5.44
36,2023-02-06,83.0,0.0,4.21
37,2023-02-07,79.0,0.0,3.54
38,2023-02-08,75.0,0.0,5.52
39,2023-02-09,84.0,0.0,4.7
40,2023-02-10,85.0,0.0,3.73
41,2023-02-11,79.0,0.0,2.68
42,2023-02-12,73.0,0.0,3.75
43,2023-02-13,73.0,0.0,7.41
44,2023-02-14,74.0,0.0,8.01
45,2023-02-15,76.0,0.0,8.08
46,2023-02-16,80.0,0.0,7.86
47,2023-02-17,84.0,0.0,8.2
48,2023-02-18,82.0,0.0,9.7
49,2023-02-19,90.0,0.0,8.28
50,2023-02-20,90.0,0.0,9.73
51,2023-02-21,89.0,3.9,10.75
52,2023-02-22,100.0,11.5,7.87
53,2023-02-23,95.0,5.7,3.05
54,2023-02-24,86.0,3.5,3.67
55,2023-02-25,94.0,6.3,3.84
56,2023-02-26,79.0,0.0,4.71
57,2023-02-27,60.0,0.0,3.62
58,2023-02-28,72.0,0.0,2.84
59,2023-03-01,88.0,2.4,2.3
60,2023-03-02,82.0,0.0,3.11
61,2023-03-03,84.0,0.0,3.67
62,2023-03-04,83.0,0.0,4.59
63,2023-03-05,85.0,0.0,5.41
64,2023-03-06,94.0,2.1,8.4
65,2023-03-07,84.0,0.8,11.15
66,2023-03-08,84.0,18.6,13.31
67,2023-03-09,84.0,6.1,11.94
68,2023-03-10,81.0,0.0,13.39
69,2023-03-11,96.0,3.3,13.77
70,2023-03-12,79.0,0.0,14.45
71,2023-03-13,78.0,7.0,11.14
72,2023-03-14,80.0,0.0,9.63
73,2023-03-15,72.0,0.0,11.6
74,2023-03-16,78.0,4.4,10.65
75,2023-03-17,87.0,8.3,9.71
76,2023-03-18,88.0,2.4,10.6
77,2023-03-19,78.0,0.0,11.49
78,2023-03-20,76.0,0.0,11.81
79,2023-03-21,76.0,0.0,12.57
80,2023-03-22,73.0,0.0,11.5
81,2023-03-23,79.0,11.2,13.09
82,2023-03-24,74.0,0.8,10.99
83,2023-03-25,86.0,3.0,9.17
84,2023-03-26,71.0,0.0,10.38
85,2023-03-27,69.0,0.0,9.83
86,2023-03-28,53.0,0.0,15.22
87,2023-03-29,53.0,0.5,16.29
88,2023-03-30,67.0,0.6,14.28
89,2023-03-31,68.0,0.0,12.51
90,2023-04-01,77.0,1.8,10.28
91,2023-04-02,77.0,0.0,8.02
92,2023-04-03,76.0,0.0,9.18
93,2023-04-04,76.0,0.0,10.48
94,2023-04-05,72.0,0.0,10.0
95,2023-04-06,73.0,0.0,10.46
96,2023-04-07,64.0,0.0,13.76
97,2023-04-08,60.0,0.0,14.07
98,2023-04-09,65.0,0.0,13.16
99,2023-04-10,81.0,0.9,12.61
100,2023-04-11,74.0,0.0,13.44
101,2023-04-12,76.0,11.6,9.34
102,2023-04-13,90.0,4.1,8.07
103,2023-04-14,77.0,4.2,12.53
104,2023-04-15,79.0,0.0,13.15
105,2023-04-16,80.0,0.0,14.4
106,2023-04-17,72.0,0.0,14.15
107,2023-04-18,76.0,0.0,12.27
108,2023-04-19,68.0,0.0,14.74
109,2023-04-20,78.0,0.0,12.36
110,2023-04-21,90.0,9.6,11.21
111,2023-04-22,83.0,4.5,11.29
112,2023-04-23,90.0,19.7,13.72
113,2023-04-24,88.0,0.4,14.46
114,2023-04-25,82.0,0.0,15.27
115,2023-04-26,76.0,0.0,18.72
116,2023-04-27,68.0,0.0,19.54
117,2023-04-28,80.0,0.0,17.41
118,2023-04-29,79.0,0.0,15.77
119,2023-04-30,79.0,0.0,15.56
120,2023-05-01,76.0,0.0,15.69
121,2023-05-02,69.0,0.0,18.76
122,2023-05-03,80.0,4.7,16.87
123,2023-05-04,78.0,2.4,15.03
124,2023-05-05,71.0,0.0,15.42
125,2023-05-06,80.0,10.1,15.35
126,2023-05-07,73.0,0.0,16.46
127,2023-05-08,79.0,0.0,16.21
