,fecha,humedad,precipitacion,temperatura
0,2023-01-01,99.0,48.8,11.17
1,2023-01-02,95.0,0.0,7.27
2,2023-01-03,96.0,0.0,4.87
3,2023-01-04,95.0,0.0,5.21
4,2023-01-05,98.0,0.0,4.42
5,2023-01-06,86.0,0.0,5.68
6,2023-01-07,79.0,17.2,12.15
7,2023-01-08,92.0,18.8,11.79
8,2023-01-09,91.0,0.0,8.33
9,2023-01-10,88.0,0.6,10.16
10,2023-01-11,89.0,11.0,9.9
11,2023-01-12,97.0,0.0,5.73
12,2023-01-13,84.0,0.0,11.93
13,2023-01-14,79.0,1.0,13.33
14,2023-01-15,80.0,9.0,8.56
15,2023-01-16,83.0,12.2,12.14
16,2023-01-17,75.0,9.0,7.74
17,2023-01-18,90.0,7.4,4.72
18,2023-01-19,100.0,8.4,6.11
19,2023-01-20,95.0,1.0,11.71
20,2023-01-21,84.0,0.0,10.38
21,2023-01-22,86.0,0.0,3.58
22,2023-01-23,76.0,0.0,3.52
23,2023-01-24,78.0,0.0,4.17
24,2023-01-25,82.0,0.0,3.71
25,2023-01-26,93.0,2.4,4.08
26,2023-01-27,80.0,0.0,5.74
27,2023-01-28,76.0,0.0,4.88
28,2023-01-29,76.0,0.0,3.92
29,2023-01-30,80.0,0.0,2.97
30,2023-01-31,83.0,0.0,2.77
31,2023-02-01,83.0,0.0,3.64
32,2023-02-02,81.0,0.0,4.72
33,2023-02-03,82.0,0.0,3.93
34,2023-02-04,78.0,0.0,5.0
35,2023-02-05,79.0,0.0,5.96
36,2023-02-06,78.0,0.0,5.29
37,2023-02-07,72.0,0.0,4.59
38,2023-02-08,63.0,0.0,7.9
39,2023-02-09,72.0,0.0,5.74
40,2023-02-10,71.0,0.0,5.25
41,2023-02-11,66.0,0.0,4.92
42,2023-02-12,63.0,0.0,6.09
43,2023-02-13,58.0,0.0,10.28
44,2023-02-14,66.0,0.0,9.63
45,2023-02-15,71.0,0.0,9.84
46,2023-02-16,75.0,0.0,9.11
47,2023-02-17,73.0,0.0,10.06
48,2023-02-18,67.0,0.0,9.53
49,2023-02-19,62.0,0.0,12.43
50,2023-02-20,84.0,0.6,9.89
51,2023-02-21,89.0,5.0,11.6
52,2023-02-22,92.0,5.8,9.39
53,2023-02-23,76.0,0.4,5.84
54,2023-02-24,75.0,0.0,5.72
55,2023-02-25,92.0,9.2,4.82
56,2023-02-26,76.0,0.0,6.24
57,2023-02-27,61.0,0.0,4.78
58,2023-02-28,57.0,0.0,4.2
59,2023-03-01,79.0,0.8,2.66
60,2023-03-02,73.0,0.0,3.85
61,2023-03-03,67.0,0.0,6.13
62,2023-03-04,64.0,0.0,7.44
63,2023-03-05,86.0,2.2,5.53
64,2023-03-06,92.0,2.8,10.77
65,2023-03-07,72.0,0.0,13.47
66,2023-03-08,78.0,8.8,14.93
67,2023-03-09,77.0,3.6,13.52
68,2023-03-10,69.0,0.4,15.88
69,2023-03-11,73.0,0.0,16.33
70,2023-03-12,69.0,0.0,16.16
71,2023-03-13,72.0,4.2,12.98
72,2023-03-14,79.0,0.0,10.86
73,2023-03-15,71.0,0.0,12.33
74,2023-03-16,79.0,3.6,11.65
75,2023-03-17,82.0,7.6,11.46
76,2023-03-18,74.0,1.0,13.29
77,2023-03-19,75.0,0.0,12.25
78,2023-03-20,73.0,0.0,12.07
79,2023-03-21,69.0,0.0,13.98
80,2023-03-22,72.0,0.0,12.75
81,2023-03-23,67.0,1.2,15.22
82,2023-03-24,69.0,5.2,13.33
83,2023-03-25,80.0,0.0,9.86
84,2023-03-26,63.0,0.0,12.81
85,2023-03-27,64.0,0.0,11.93
86,2023-03-28,60.0,0.0,14.74
87,2023-03-29,58.0,0.0,16.71
88,2023-03-30,58.0,0.0,16.91
89,2023-03-31,61.0,0.0,15.32
90,2023-04-01,67.0,0.0,13.37
91,2023-04-02,60.0,0.0,10.63
92,2023-04-03,73.0,0.4,9.74
93,2023-04-04,61.0,0.0,13.79
94,2023-04-05,55.0,0.0,13.57
95,2023-04-06,49.0,0.0,14.96
96,2023-04-07,54.0,0.0,15.19
97,2023-04-08,56.0,0.0,15.91
98,2023-04-09,59.0,0.0,15.53
99,2023-04-10,69.0,0.0,14.82
100,2023-04-11,65.0,0.0,15.7
101,2023-04-12,65.0,3.0,12.02
102,2023-04-13,79.0,0.6,9.46
103,2023-04-14,68.0,2.0,14.67
104,2023-04-15,72.0,0.0,14.13
105,2023-04-16,62.0,0.0,17.23
106,2023-04-17,55.0,0.0,17.93
107,2023-04-18,48.0,0.0,17.79
108,2023-04-19,55.0,0.0,16.63
109,2023-04-20,63.0,0.0,15.19
110,2023-04-21,92.0,11.0,11.43
111,2023-04-22,71.0,0.4,13.93
112,2023-04-23,83.0,3.4,15.66
113,2023-04-24,82.0,0.0,16.06
114,2023-04-25,74.0,0.0,17.15
115,2023-04-26,70.0,0.0,19.77
116,2023-04-27,63.0,0.0,20.31
117,2023-04-28,62.0,0.0,19.85
118,2023-04-29,69.0,0.0,18.83
119,2023-04-30,65.0,0.0,18.26
120,2023-05-01,62.0,0.0,19.05
121,2023-05-02,57.0,0.0,21.77
122,2023-05-03,69.0,3.8,18.6
123,2023-05-04,72.0,0.0,16.69
124,2023-05-05,65.0,0.0,17.2
125,2023-05-06,71.0,14.8,17.88
126,2023-05-07,66.0,0.0,18.26
127,2023-05-08,69.0,0.0,18.77
128,2023-05-09,63.0,1.4,19.29
129,2023-05-10,65.0,0.0,13.72
130,2023-05-11,62.0,0.0,14.11
131,2023-05-12,66.0,0.0,13.22
132,2023-05-13,67.0,0.0,13.87
133,2023-05-14,60.0,0.0,16.98
134,2023-05-15,60.0,0.0,16.89
135,2023-05-16,61.0,0.0,15.38
136,2023-05-17,51.0,0.0,17.21
137,2023-05-18,49.0,0.0,15.75
138,2023-05-19,50.0,0.0,16.1
139,2023-05-20,52.0,0.8,16.12
140,2023-05-21,58.0,0.0,16.35
141,2023-05-22,59.0,0.0,18.53
142,2023-05-23,59.0,0.0,20.03
143,2023-05-24,58.0,0.0,20.32
144,2023-05-25,55.0,0.0,19.76
145,2023-05-26,61.0,1.4,17.08
146,2023-05-27,73.0,13.2,18.7
147,2023-05-28,88.0,21.2,17.92
148,2023-05-29,88.0,41.2,17.54
149,2023-05-30,85.0,0.0,17.88
150,2023-05-31,83.0,2.4,18.75
151,2023-06-01,81.0,3.6,18.87
152,2023-06-02,75.0,2.2,18.84
153,2023-06-03,78.0,0.0,19.02
154,2023-06-04,80.0,0.0,18.69
155,2023-06-05,75.0,0.0,20.15
156,2023-06-06,75.0,8.0,21.5
157,2023-06-07,92.0,11.2,19.64
158,2023-06-08,84.0,28.2,19.77
159,2023-06-09,82.0,15.6,19.4
160,2023-06-10,78.0,1.2,19.23
161,2023-06-11,73.0,0.0,19.28
162,2023-06-12,88.0,18.2,17.56
163,2023-06-13,78.0,3.8,19.61
164,2023-06-14,71.0,0.0,21.6
165,2023-06-15,66.0,0.0,23.17
166,2023-06-16,67.0,0.0,24.07
167,2023-06-17,69.0,0.0,21.69
168,2023-06-18,68.0,0.0,21.06
169,2023-06-19,87.0,10.6,19.02
170,2023-06-20,68.0,0.0,19.98
171,2023-06-21,77.0,1.0,19.12
172,2023-06-22,70.0,0.0,21.88
173,2023-06-23,67.0,0.0,24.3
174,2023-06-24,64.0,0.0,27.12
175,2023-06-25,66.0,0.0,25.29
176,2023-06-26,65.0,0.0,23.09
177,2023-06-27,64.0,0.0,23.89
178,2023-06-28,62.0,0.0,23.06
179,2023-06-29,63.0,0.0,19.86
180,2023-06-30,57.0,0.0,20.63
181,2023-07-01,57.0,0.0,23.19
182,2023-07-02,62.0,0.0,24.22
183,2023-07-03,61.0,0.0,23.89
184,2023-07-04,59.0,0.0,23.13
185,2023-07-05,67.0,0.0,21.95
186,2023-07-06,63.0,0.0,22.42
187,2023-07-07,61.0,0.0,21.45
188,2023-07-08,72.0,5.6,20.76
189,2023-07-09,66.0,0.0,19.69
190,2023-07-10,60.0,0.0,22.69
191,2023-07-11,63.0,0.0,22.41
192,2023-07-12,61.0,0.0,22.74
193,2023-07-13,57.0,0.0,22.68
194,2023-07-14,66.0,0.0,21.13
195,2023-07-15,57.0,0.0,20.32
196,2023-07-16,59.0,0.0,19.08
197,2023-07-17,57.0,0.0,22.68
198,2023-07-18,61.0,0.0,24.06
199,2023-07-19,58.0,0.0,23.78
200,2023-07-20,60.0,0.0,22.27
201,2023-07-21,58.0,0.0,22.15
202,2023-07-22,59.0,0.0,22.78
203,2023-07-23,65.0,0.0,20.69
204,2023-07-24,66.0,0.8,20.22
205,2023-07-25,59.0,0.0,20.15
206,2023-07-26,55.0,0.0,23.57
207,2023-07-27,66.0,0.0,22.26
208,2023-07-28,64.0,0.0,23.22
209,2023-07-29,63.0,0.0,24.42
210,2023-07-30,60.0,0.0,23.08
211,2023-07-31,61.0,0.0,22.53
212,2023-08-01,63.0,0.0,23.63
213,2023-08-02,63.0,0.0,22.53
214,2023-08-03,56.0,0.0,19.79
215,2023-08-04,58.0,0.0,19.77
216,2023-08-05,56.0,0.0,22.45
217,2023-08-06,53.0,0.0,23.67
218,2023-08-07,49.0,0.0,24.81
219,2023-08-08,48.0,0.0,28.29
220,2023-08-09,60.0,0.0,25.31
221,2023-08-10,61.0,0.0,24.26
222,2023-08-11,65.0,0.0,25.18
223,2023-08-12,55.0,0.0,25.09
224,2023-08-13,57.0,0.0,22.76
225,2023-08-14,63.0,0.0,22.43
226,2023-08-15,60.0,0.0,23.22
227,2023-08-16,56.0,0.0,24.19
228,2023-08-17,63.0,0.0,22.65
229,2023-08-18,60.0,0.0,24.54
230,2023-08-19,86.0,6.0,23.06
231,2023-08-20,64.0,0.0,25.95
232,2023-08-21,60.0,0.0,27.06
233,2023-08-22,59.0,0.0,29.55
234,2023-08-23,51.0,0.0,31.0
235,2023-08-24,58.0,0.0,26.23
236,2023-08-25,64.0,0.0,22.27
237,2023-08-26,57.0,0.0,19.48
238,2023-08-27,63.0,0.0,17.99
239,2023-08-28,62.0,0.0,20.24
240,2023-08-29,66.0,0.0,20.26
241,2023-08-30,61.0,0.0,21.13
242,2023-08-31,63.0,0.0,21.79
243,2023-09-01,68.0,0.0,20.7
244,2023-09-02,88.0,11.2,17.58
245,2023-09-03,87.0,3.6,18.64
246,2023-09-04,70.0,1.0,21.27
247,2023-09-05,74.0,1.4,21.31
248,2023-09-06,68.0,0.0,22.97
249,2023-09-07,69.0,0.4,23.02
250,2023-09-08,72.0,0.0,22.33
251,2023-09-09,97.0,51.8,18.58
252,2023-09-10,94.0,18.6,18.51
253,2023-09-11,88.0,11.6,19.81
254,2023-09-12,75.0,0.0,21.06
255,2023-09-13,72.0,0.0,21.34
256,2023-09-14,72.0,0.0,22.26
257,2023-09-15,83.0,0.0,19.93
258,2023-09-16,76.0,0.4,19.05
259,2023-09-17,69.0,2.6,18.14
260,2023-09-18,73.0,0.6,18.53
261,2023-09-19,76.0,0.0,18.47
262,2023-09-20,75.0,0.0,17.58
263,2023-09-21,77.0,9.6,16.91
264,2023-09-22,77.0,0.0,15.28
265,2023-09-23,79.0,0.0,15.17
266,2023-09-24,75.0,0.0,17.36
267,2023-09-25,74.0,0.0,18.05
268,2023-09-26,78.0,0.0,19.79
269,2023-09-27,78.0,0.0,19.33
270,2023-09-28,79.0,0.0,19.73
271,2023-09-29,79.0,0.0,20.85
272,2023-09-30,73.0,0.0,21.56
273,2023-10-01,73.0,0.0,22.16
274,2023-10-02,79.0,0.0,20.05
275,2023-10-03,79.0,0.0,18.97
276,2023-10-04,77.0,0.0,19.69
277,2023-10-05,79.0,0.0,19.14
278,2023-10-06,80.0,0.0,19.54
279,2023-10-07,71.0,0.0,20.19
280,2023-10-08,70.0,0.0,19.81
281,2023-10-09,75.0,0.0,20.06
282,2023-10-10,75.0,0.0,19.53
283,2023-10-11,72.0,0.0,19.65
284,2023-10-12,73.0,0.0,19.43
285,2023-10-13,83.0,18.2,17.62
286,2023-10-14,83.0,0.0,18.09
287,2023-10-15,99.0,3.0,15.63
288,2023-10-16,90.0,1.6,17.88
289,2023-10-17,75.0,6.4,21.04
290,2023-10-18,82.0,13.4,17.9
291,2023-10-19,94.0,36.4,14.94
292,2023-10-20,77.0,6.0,13.76
293,2023-10-21,92.0,0.4,11.57
294,2023-10-22,88.0,0.6,13.7
295,2023-10-23,90.0,3.2,12.79
296,2023-10-24,94.0,12.0,13.7
297,2023-10-25,87.0,22.6,17.87
298,2023-10-26,90.0,52.8,15.83
299,2023-10-27,80.0,12.2,14.26
300,2023-10-28,83.0,24.0,15.71
301,2023-10-29,81.0,5.6,13.88
302,2023-10-30,92.0,6.0,11.55
303,2023-10-31,84.0,2.6,13.46
304,2023-11-01,78.0,16.6,15.34
305,2023-11-02,78.0,28.8,11.36
306,2023-11-03,80.0,4.2,12.69
307,2023-11-04,78.0,24.0,14.42
308,2023-11-05,88.0,24.0,11.15
309,2023-11-06,90.0,7.8,8.95
310,2023-11-07,87.0,6.0,10.06
311,2023-11-08,92.0,12.8,12.24
312,2023-11-09,87.0,0.8,11.76
313,2023-11-10,97.0,10.8,12.81
314,2023-11-11,84.0,0.8,18.16
315,2023-11-12,72.0,0.0,18.79
316,2023-11-13,74.0,0.0,18.75
317,2023-11-14,83.0,7.6,17.54
318,2023-11-15,91.0,0.0,16.64
319,2023-11-16,86.0,3.2,16.88
320,2023-11-17,92.0,0.0,13.31
321,2023-11-18,95.0,0.0,12.2
322,2023-11-19,98.0,0.0,12.25
323,2023-11-20,84.0,0.0,12.84
324,2023-11-21,83.0,0.0,8.87
325,2023-11-22,82.0,0.0,10.05
326,2023-11-23,83.0,0.0,8.53
327,2023-11-24,90.0,0.0,7.2
328,2023-11-25,95.0,0.0,6.3
329,2023-11-26,96.0,0.0,6.25
330,2023-11-27,92.0,0.6,11.07
331,2023-11-28,100.0,8.0,13.25
332,2023-11-29,97.0,6.6,14.79
333,2023-11-30,98.0,18.4,9.49
334,2023-12-01,92.0,1.0,8.16
335,2023-12-02,96.0,0.0,6.72
336,2023-12-03,89.0,13.2,7.92
337,2023-12-04,90.0,4.0,9.59
338,2023-12-05,96.0,0.0,4.66
339,2023-12-06,95.0,0.8,4.5
340,2023-12-07,93.0,31.2,11.04
341,2023-12-08,92.0,3.4,9.73
342,2023-12-09,89.0,0.8,15.66
343,2023-12-10,84.0,0.4,16.72
344,2023-12-11,79.0,0.0,16.16
345,2023-12-12,90.0,18.4,13.44
346,2023-12-13,90.0,0.8,9.01
347,2023-12-14,91.0,0.0,7.9
348,2023-12-15,92.0,0.0,6.33
349,2023-12-16,96.0,0.0,4.69
350,2023-12-17,97.0,0.0,3.11
351,2023-12-18,95.0,0.0,1.56
352,2023-12-19,96.0,1.6,1.04
353,2023-12-20,87.0,0.8,7.13
354,2023-12-21,93.0,0.0,7.54
355,2023-12-22,93.0,0.0,6.18
356,2023-12-23,89.0,0.0,5.49
357,2023-12-24,92.0,0.0,3.79
358,2023-12-25,97.0,0.0,2.53
359,2023-12-26,84.0,0.0,5.26
360,2023-12-27,75.0,0.0,8.39
361,2023-12-28,94.0,12.6,11.09
362,2023-12-29,99.0,2.6,10.92
363,2023-12-30,88.0,0.4,10.02
364,2023-12-31,86.0,4.2,9.07
365,2024-01-01,84.0,0.0,8.19
366,2024-01-02,81.0,15.2,13.92
367,2024-01-03,82.0,0.0,12.45
368,2024-01-04,84.0,5.0,10.29
369,2024-01-05,97.0,5.8,6.59
370,2024-01-06,98.0,0.0,5.57
371,2024-01-07,95.0,0.0,4.45
372,2024-01-08,93.0,1.0,3.88
373,2024-01-09,97.0,1.0,6.42
374,2024-01-10,100.0,10.8,7.28
375,2024-01-11,84.0,0.0,5.07
376,2024-01-12,78.0,0.0,4.16
377,2024-01-13,76.0,4.8,9.87
378,2024-01-14,100.0,13.0,11.37
379,2024-01-15,97.0,3.6,13.42
380,2024-01-16,91.0,8.0,12.37
381,2024-01-17,81.0,11.8,13.67
382,2024-01-18,84.0,2.4,11.53
383,2024-01-19,75.0,0.0,7.71
384,2024-01-20,84.0,0.0,3.36
385,2024-01-21,79.0,0.0,8.51
386,2024-01-22,83.0,0.0,13.27
387,2024-01-23,87.0,0.0,14.26
388,2024-01-24,91.0,0.0,10.53
389,2024-01-25,93.0,0.0,8.75
390,2024-01-26,92.0,0.0,7.8
391,2024-01-27,89.0,0.0,8.2
392,2024-01-28,81.0,0.0,10.02
393,2024-01-29,82.0,0.0,10.7
394,2024-01-30,87.0,0.0,9.53
395,2024-01-31,87.0,0.0,8.99
396,2024-02-01,89.0,0.0,8.22
397,2024-02-02,85.0,0.0,9.29
398,2024-02-03,85.0,0.0,9.26
399,2024-02-04,87.0,0.0,8.9
400,2024-02-05,88.0,0.0,8.88
401,2024-02-06,88.0,0.0,8.95
402,2024-02-07,78.0,0.0,12.23
403,2024-02-08,68.0,6.2,14.15
404,2024-02-09,96.0,20.0,10.69
405,2024-02-10,88.0,9.8,7.15
406,2024-02-11,88.0,3.8,8.43
407,2024-02-12,78.0,0.6,13.36
408,2024-02-13,85.0,0.4,13.47
409,2024-02-14,77.0,0.0,16.01
410,2024-02-15,79.0,2.6,14.38
411,2024-02-16,85.0,0.8,11.88
412,2024-02-17,84.0,0.0,10.38
413,2024-02-18,84.0,0.0,11.98
414,2024-02-19,80.0,0.0,14.73
415,2024-02-20,85.0,0.0,11.32
416,2024-02-21,79.0,0.0,11.14
417,2024-02-22,69.0,3.0,12.47
418,2024-02-23,83.0,18.2,7.34
419,2024-02-24,83.0,5.0,8.66
420,2024-02-25,81.0,23.6,12.88
421,2024-02-26,68.0,1.2,8.72
422,2024-02-27,66.0,0.0,8.73
423,2024-02-28,76.0,0.0,9.94
424,2024-02-29,80.0,3.8,9.33
425,2024-03-01,92.0,10.2,8.17
426,2024-03-02,85.0,25.0,7.8
427,2024-03-03,88.0,2.2,7.36
428,2024-03-04,81.0,9.6,10.22
429,2024-03-05,84.0,0.4,8.3
430,2024-03-06,75.0,0.0,8.71
431,2024-03-07,64.0,0.0,10.29
432,2024-03-08,75.0,22.6,8.52
433,2024-03-09,79.0,17.2,7.35
434,2024-03-10,85.0,8.4,9.47
435,2024-03-11,83.0,0.0,9.4
436,2024-03-12,73.0,0.0,12.07
437,2024-03-13,72.0,0.0,12.42
438,2024-03-14,86.0,2.8,12.26
439,2024-03-15,82.0,0.0,13.43
440,2024-03-16,86.0,0.0,12.87
441,2024-03-17,82.0,0.0,15.56
442,2024-03-18,77.0,0.0,15.73
443,2024-03-19,76.0,0.0,14.49
444,2024-03-20,74.0,0.0,12.44
445,2024-03-21,66.0,0.0,16.83
446,2024-03-22,70.0,0.0,16.79
447,2024-03-23,61.0,0.0,15.81
448,2024-03-24,63.0,0.0,13.46
449,2024-03-25,80.0,1.8,8.24
450,2024-03-26,84.0,2.4,6.19
451,2024-03-27,77.0,27.6,8.89
452,2024-03-28,86.0,20.0,8.02
453,2024-03-29,87.0,6.4,8.38
454,2024-03-30,93.0,6.6,7.5
455,2024-03-31,82.0,5.6,8.33
456,2024-04-01,74.0,7.0,9.82
457,2024-04-02,74.0,7.2,12.69
458,2024-04-03,71.0,0.0,14.45
459,2024-04-04,51.0,0.0,16.88
460,2024-04-05,41.0,0.0,20.66
461,2024-04-06,72.0,7.0,15.62
462,2024-04-07,72.0,0.0,13.9
463,2024-04-08,79.0,16.2,10.53
464,2024-04-09,76.0,0.0,10.04
465,2024-04-10,72.0,0.0,13.93
466,2024-04-11,71.0,0.0,17.9
467,2024-04-12,69.0,0.0,20.16
468,2024-04-13,69.0,0.0,20.84
469,2024-04-14,66.0,0.0,20.33
470,2024-04-15,60.0,0.0,17.03
471,2024-04-16,60.0,0.0,14.26
472,2024-04-17,61.0,0.0,14.13
473,2024-04-18,58.0,0.0,15.61
474,2024-04-19,59.0,0.0,17.31
475,2024-04-20,58.0,0.0,17.57
476,2024-04-21,59.0,0.0,16.72
477,2024-04-22,50.0,0.0,14.6
478,2024-04-23,52.0,0.0,12.76
479,2024-04-24,59.0,0.0,13.2
480,2024-04-25,68.0,1.0,12.74
481,2024-04-26,87.0,15.2,11.23
482,2024-04-27,87.0,5.6,8.86
483,2024-04-28,77.0,1.4,10.57
484,2024-04-29,67.0,0.0,11.2
485,2024-04-30,81.0,7.4,11.37
486,2024-05-01,83.0,4.2,9.02
487,2024-05-02,79.0,4.6,10.24
488,2024-05-03,90.0,3.0,12.06
489,2024-05-04,79.0,4.4,15.82
490,2024-05-05,90.0,21.0,14.53
491,2024-05-06,79.0,0.0,12.18
492,2024-05-07,69.0,0.0,14.96
493,2024-05-08,63.0,0.0,18.64
494,2024-05-09,68.0,0.0,18.49
495,2024-05-10,66.0,2.6,19.1
496,2024-05-11,67.0,0.8,19.73
