,fecha,humedad,precipitacion,temperatura
0,2023-01-01,100.0,55.4,12.1
1,2023-01-02,93.0,1.0,9.08
2,2023-01-03,87.0,0.0,9.1
3,2023-01-04,82.0,0.0,11.55
4,2023-01-05,91.0,0.0,9.53
5,2023-01-06,83.0,0.0,9.92
6,2023-01-07,91.0,54.7,13.94
7,2023-01-08,99.0,39.3,12.99
8,2023-01-09,87.0,0.0,10.19
9,2023-01-10,96.0,13.1,13.06
10,2023-01-11,90.0,4.9,12.0
11,2023-01-12,91.0,0.0,10.18
12,2023-01-13,90.0,2.6,12.97
13,2023-01-14,91.0,3.7,14.21
14,2023-01-15,87.0,16.7,9.8
15,2023-01-16,100.0,60.2,13.04
16,2023-01-17,76.0,9.8,9.32
17,2023-01-18,87.0,4.5,6.72
18,2023-01-19,100.0,32.8,9.29
19,2023-01-20,98.0,0.7,13.64
20,2023-01-21,84.0,0.0,12.66
21,2023-01-22,64.0,0.0,8.04
22,2023-01-23,59.0,0.0,7.1
23,2023-01-24,59.0,0.0,8.95
24,2023-01-25,72.0,0.0,7.86
25,2023-01-26,80.0,1.9,8.06
26,2023-01-27,70.0,0.0,9.17
27,2023-01-28,69.0,0.0,7.37
28,2023-01-29,64.0,0.0,7.69
29,2023-01-30,79.0,0.0,5.66
30,2023-01-31,80.0,0.0,6.25
31,2023-02-01,82.0,0.0,6.85
32,2023-02-02,81.0,0.0,7.35
33,2023-02-03,79.0,0.0,7.84
34,2023-02-04,76.0,0.0,8.04
35,2023-02-05,72.0,0.0,9.32
36,2023-02-06,66.0,0.0,9.6
37,2023-02-07,55.0,0.0,8.52
38,2023-02-08,54.0,0.0,11.16
39,2023-02-09,62.0,0.0,9.65
40,2023-02-10,57.0,0.0,9.18
41,2023-02-11,59.0,0.0,8.23
42,2023-02-12,54.0,0.0,10.2
43,2023-02-13,59.0,0.0,13.06
44,2023-02-14,67.0,0.0,11.91
45,2023-02-15,69.0,0.0,12.37
46,2023-02-16,70.0,0.0,12.69
47,2023-02-17,71.0,0.0,13.16
48,2023-02-18,61.0,0.0,12.44
49,2023-02-19,64.0,0.0,13.8
50,2023-02-20,73.0,0.3,12.89
51,2023-02-21,89.0,0.6,13.32
52,2023-02-22,87.0,2.1,11.55
53,2023-02-23,79.0,0.6,6.95
54,2023-02-24,78.0,1.7,5.91
55,2023-02-25,95.0,4.3,6.97
56,2023-02-26,70.0,0.0,8.59
57,2023-02-27,45.0,0.0,8.48
58,2023-02-28,47.0,0.0,8.22
59,2023-03-01,63.0,0.0,7.06
60,2023-03-02,67.0,0.0,6.75
61,2023-03-03,67.0,0.0,7.85
62,2023-03-04,66.0,0.0,9.09
63,2023-03-05,82.0,1.6,8.49
64,2023-03-06,91.0,2.8,13.19
65,2023-03-07,84.0,2.4,14.26
66,2023-03-08,87.0,14.2,16.06
67,2023-03-09,80.0,9.2,15.36
68,2023-03-10,89.0,1.4,15.42
69,2023-03-11,95.0,9.4,15.98
70,2023-03-12,79.0,1.5,16.55
71,2023-03-13,78.0,10.8,14.65
72,2023-03-14,86.0,0.3,12.63
73,2023-03-15,85.0,0.0,13.85
74,2023-03-16,94.0,17.7,11.47
75,2023-03-17,84.0,13.5,13.36
76,2023-03-18,86.0,6.4,13.88
77,2023-03-19,78.0,0.0,12.99
78,2023-03-20,84.0,0.0,12.05
79,2023-03-21,84.0,0.7,13.87
80,2023-03-22,79.0,0.7,13.8
81,2023-03-23,100.0,15.1,14.16
82,2023-03-24,81.0,7.7,14.24
83,2023-03-25,87.0,3.4,12.73
84,2023-03-26,77.0,0.0,13.21
85,2023-03-27,66.0,0.0,12.92
