,fecha,humedad,precipitacion,temperatura
0,2023-01-01,96.0,38.1,10.06
1,2023-01-02,89.0,0.5,7.85
2,2023-01-03,84.0,0.0,8.68
3,2023-01-04,86.0,0.0,11.32
4,2023-01-05,90.0,0.0,9.46
5,2023-01-06,82.0,0.0,9.84
6,2023-01-07,89.0,54.5,11.65
7,2023-01-08,93.0,14.4,10.45
8,2023-01-09,86.0,0.0,8.94
9,2023-01-10,95.0,30.1,11.67
10,2023-01-11,88.0,0.6,9.85
11,2023-01-12,90.0,1.1,9.69
12,2023-01-13,96.0,3.2,10.95
13,2023-01-14,95.0,21.4,12.02
14,2023-01-15,89.0,12.9,7.18
15,2023-01-16,94.0,25.7,11.1
16,2023-01-17,84.0,10.0,6.25
17,2023-01-18,87.0,4.6,4.88
18,2023-01-19,97.0,21.2,7.6
19,2023-01-20,96.0,1.4,11.51
20,2023-01-21,85.0,0.7,10.59
21,2023-01-22,70.0,0.0,6.15
22,2023-01-23,64.0,0.0,5.42
23,2023-01-24,76.0,0.0,6.39
24,2023-01-25,74.0,0.0,7.66
25,2023-01-26,84.0,1.5,7.4
26,2023-01-27,79.0,0.0,7.02
27,2023-01-28,76.0,0.0,5.59
28,2023-01-29,71.0,0.0,6.17
29,2023-01-30,73.0,0.0,5.16
30,2023-01-31,78.0,0.0,5.83
31,2023-02-01,77.0,0.0,7.7
32,2023-02-02,69.0,0.0,7.93
33,2023-02-03,69.0,0.0,8.33
34,2023-02-04,71.0,0.0,8.28
35,2023-02-05,73.0,0.0,7.94
36,2023-02-06,66.0,0.0,7.8
37,2023-02-07,67.0,0.0,6.13
38,2023-02-08,60.0,0.0,8.29
39,2023-02-09,62.0,0.0,8.21
40,2023-02-10,62.0,0.0,8.07
41,2023-02-11,59.0,0.0,7.36
42,2023-02-12,46.0,0.0,10.05
43,2023-02-13,58.0,0.0,11.72
44,2023-02-14,55.0,0.0,12.54
45,2023-02-15,66.0,0.0,11.35
46,2023-02-16,74.0,0.0,10.67
47,2023-02-17,69.0,0.0,12.72
48,2023-02-18,60.0,0.0,12.95
49,2023-02-19,67.0,0.0,11.87
50,2023-02-20,67.0,0.0,12.69
51,2023-02-21,85.0,4.7,11.62
52,2023-02-22,91.0,3.6,8.82
53,2023-02-23,90.0,12.4,4.17
54,2023-02-24,89.0,1.4,4.1
55,2023-02-25,95.0,2.2,5.59
56,2023-02-26,74.0,0.0,6.57
57,2023-02-27,56.0,0.0,5.43
58,2023-02-28,62.0,0.0,5.24
59,2023-03-01,72.0,0.0,4.8
60,2023-03-02,66.0,0.0,6.01
61,2023-03-03,70.0,0.0,6.78
62,2023-03-04,62.0,0.0,8.95
63,2023-03-05,83.0,2.0,7.02
64,2023-03-06,88.0,3.3,10.05
65,2023-03-07,89.0,5.9,11.88
66,2023-03-08,94.0,21.9,13.59
67,2023-03-09,88.0,11.6,12.69
68,2023-03-10,91.0,3.3,13.08
69,2023-03-11,96.0,10.5,13.68
70,2023-03-12,82.0,0.7,14.45
71,2023-03-13,87.0,26.7,11.65
72,2023-03-14,88.0,0.8,10.58
73,2023-03-15,81.0,0.0,12.38
74,2023-03-16,92.0,15.8,11.07
75,2023-03-17,87.0,31.1,10.96
76,2023-03-18,87.0,4.2,11.59
77,2023-03-19,79.0,0.0,12.0
78,2023-03-20,84.0,0.0,10.66
79,2023-03-21,83.0,0.0,12.27
80,2023-03-22,88.0,7.2,11.78
81,2023-03-23,96.0,35.2,12.81
82,2023-03-24,78.0,0.3,11.75
83,2023-03-25,88.0,8.3,11.07
84,2023-03-26,74.0,0.0,11.09
85,2023-03-27,61.0,0.0,11.71
86,2023-03-28,39.0,0.0,14.83
