,fecha,humedad,precipitacion,temperatura
0,2023-01-01,90.0,54.2,13.06
1,2023-01-02,81.0,3.0,10.89
2,2023-01-03,79.0,0.0,11.28
3,2023-01-04,83.0,0.0,12.15
4,2023-01-05,84.0,0.0,11.4
5,2023-01-06,77.0,0.0,11.83
6,2023-01-07,85.0,27.4,14.5
7,2023-01-08,90.0,29.3,13.93
8,2023-01-09,74.0,0.0,12.59
9,2023-01-10,85.0,10.6,14.24
10,2023-01-11,84.0,4.2,12.83
11,2023-01-12,82.0,0.0,11.74
12,2023-01-13,82.0,1.6,13.78
13,2023-01-14,82.0,0.7,15.11
14,2023-01-15,73.0,1.4,11.24
15,2023-01-16,88.0,18.8,13.9
16,2023-01-17,74.0,17.9,10.58
17,2023-01-18,74.0,5.8,8.4
18,2023-01-19,93.0,46.6,10.41
19,2023-01-20,93.0,1.5,13.82
20,2023-01-21,78.0,0.0,13.61
21,2023-01-22,59.0,0.0,10.0
22,2023-01-23,56.0,0.0,8.99
23,2023-01-24,60.0,0.0,9.79
24,2023-01-25,63.0,0.0,9.7
25,2023-01-26,72.0,0.8,10.14
26,2023-01-27,67.0,0.0,10.42
27,2023-01-28,64.0,0.0,9.18
28,2023-01-29,61.0,0.0,8.99
29,2023-01-30,73.0,0.0,7.9
30,2023-01-31,73.0,0.0,8.78
31,2023-02-01,72.0,0.0,9.51
32,2023-02-02,74.0,0.0,10.16
33,2023-02-03,70.0,0.0,10.52
34,2023-02-04,72.0,0.0,10.77
35,2023-02-05,63.0,0.0,11.87
36,2023-02-06,61.0,0.0,12.03
37,2023-02-07,47.0,0.0,11.56
38,2023-02-08,53.0,0.0,12.69
39,2023-02-09,57.0,0.0,12.55
40,2023-02-10,49.0,0.0,12.13
41,2023-02-11,56.0,0.0,11.05
42,2023-02-12,47.0,0.0,13.09
43,2023-02-13,56.0,0.0,14.77
44,2023-02-14,58.0,0.0,14.97
45,2023-02-15,63.0,0.0,14.62
46,2023-02-16,76.0,0.0,13.45
47,2023-02-17,67.0,0.0,15.0
