Período de consulta de 01/01/2025 a 01/04/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/01/2025";"Lluvia";"0.0";"1";"L/m2"
"01/01/2025";"Humedad relativa media a 1.5m";"73";"1";"%"
"01/01/2025";"Temperatura media  atura a 1.5m";"6.43";"1";"ºC"
"02/01/2025";"Lluvia";"0.0";"1";"L/m2"
"02/01/2025";"Humedad relativa media a 1.5m";"75";"1";"%"
"02/01/2025";"Temperatura media  atura a 1.5m";"11.06";"1";"ºC"
"03/01/2025";"Lluvia";"27.3";"1";"L/m2"
"03/01/2025";"Humedad relativa media a 1.5m";"95";"1";"%"
"03/01/2025";"Temperatura media  atura a 1.5m";"12.00";"1";"ºC"
"04/01/2025";"Lluvia";"12.8";"1";"L/m2"
"04/01/2025";"Humedad relativa media a 1.5m";"85";"1";"%"
"04/01/2025";"Temperatura media  atura a 1.5m";"12.71";"1";"ºC"
"05/01/2025";"Lluvia";"46.8";"1";"L/m2"
"05/01/2025";"Humedad relativa media a 1.5m";"92";"1";"%"
"05/01/2025";"Temperatura media  atura a 1.5m";"12.69";"1";"ºC"
"06/01/2025";"Lluvia";"5.7";"1";"L/m2"
"06/01/2025";"Humedad relativa media a 1.5m";"91";"1";"%"
"06/01/2025";"Temperatura media  atura a 1.5m";"7.97";"1";"ºC"
"07/01/2025";"Lluvia";"35.4";"1";"L/m2"
"07/01/2025";"Humedad relativa media a 1.5m";"95";"1";"%"
"07/01/2025";"Temperatura media  atura a 1.5m";"11.40";"1";"ºC"
"08/01/2025";"Lluvia";"62.1";"1";"L/m2"
"08/01/2025";"Humedad relativa media a 1.5m";"89";"1";"%"
"08/01/2025";"Temperatura media  atura a 1.5m";"13.14";"1";"ºC"
"09/01/2025";"Lluvia";"4.8";"1";"L/m2"
"09/01/2025";"Humedad relativa media a 1.5m";"91";"1";"%"
"09/01/2025";"Temperatura media  atura a 1.5m";"13.38";"1";"ºC"
