Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Coruña-Torre de Hércules";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/01/2023";"Lluvia";"22.6";"1";"L/m2"
"01/01/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"01/01/2023";"Temperatura media  atura a 1.5m";"12.01";"1";"ºC"
"02/01/2023";"Lluvia";"1.1";"1";"L/m2"
"02/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"02/01/2023";"Temperatura media  atura a 1.5m";"10.98";"1";"ºC"
"03/01/2023";"Lluvia";"0.0";"1";"L/m2"
"03/01/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"03/01/2023";"Temperatura media  atura a 1.5m";"12.01";"1";"ºC"
"04/01/2023";"Lluvia";"0.0";"1";"L/m2"
"04/01/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"04/01/2023";"Temperatura media  atura a 1.5m";"14.55";"1";"ºC"
"05/01/2023";"Lluvia";"0.0";"1";"L/m2"
"05/01/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"05/01/2023";"Temperatura media  atura a 1.5m";"12.99";"1";"ºC"
"06/01/2023";"Lluvia";"0.0";"1";"L/m2"
"06/01/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"06/01/2023";"Temperatura media  atura a 1.5m";"13.61";"1";"ºC"
"07/01/2023";"Lluvia";"26.2";"1";"L/m2"
"07/01/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"07/01/2023";"Temperatura media  atura a 1.5m";"13.32";"1";"ºC"
"08/01/2023";"Lluvia";"6.8";"1";"L/m2"
"08/01/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"08/01/2023";"Temperatura media  atura a 1.5m";"12.89";"1";"ºC"
"09/01/2023";"Lluvia";"0.0";"1";"L/m2"
"09/01/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"09/01/2023";"Temperatura media  atura a 1.5m";"12.61";"1";"ºC"
"10/01/2023";"Lluvia";"4.8";"1";"L/m2"
"10/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"10/01/2023";"Temperatura media  atura a 1.5m";"14.60";"1";"ºC"
"11/01/2023";"Lluvia";"0.5";"1";"L/m2"
"11/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"11/01/2023";"Temperatura media  atura a 1.5m";"13.40";"1";"ºC"
"12/01/2023";"Lluvia";"1.7";"1";"L/m2"
"12/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"12/01/2023";"Temperatura media  atura a 1.5m";"12.88";"1";"ºC"
"13/01/2023";"Lluvia";"10.2";"1";"L/m2"
"13/01/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"13/01/2023";"Temperatura media  atura a 1.5m";"14.14";"1";"ºC"
"14/01/2023";"Lluvia";"9.4";"1";"L/m2"
"14/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"14/01/2023";"Temperatura media  atura a 1.5m";"14.75";"1";"ºC"
"15/01/2023";"Lluvia";"8.9";"1";"L/m2"
"15/01/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"15/01/2023";"Temperatura media  atura a 1.5m";"10.85";"1";"ºC"
"16/01/2023";"Lluvia";"14.7";"1";"L/m2"
"16/01/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"16/01/2023";"Temperatura media  atura a 1.5m";"13.47";"1";"ºC"
"17/01/2023";"Lluvia";"9.8";"1";"L/m2"
"17/01/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"17/01/2023";"Temperatura media  atura a 1.5m";"9.98";"1";"ºC"
"18/01/2023";"Lluvia";"4.9";"1";"L/m2"
"18/01/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"18/01/2023";"Temperatura media  atura a 1.5m";"10.08";"1";"ºC"
"19/01/2023";"Lluvia";"17.5";"1";"L/m2"
"19/01/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"19/01/2023";"Temperatura media  atura a 1.5m";"11.79";"1";"ºC"
"20/01/2023";"Lluvia";"1.4";"1";"L/m2"
"20/01/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"20/01/2023";"Temperatura media  atura a 1.5m";"13.39";"1";"ºC"
"21/01/2023";"Lluvia";"1.4";"1";"L/m2"
"21/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"21/01/2023";"Temperatura media  atura a 1.5m";"12.34";"1";"ºC"
"22/01/2023";"Lluvia";"0.0";"1";"L/m2"
"22/01/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"22/01/2023";"Temperatura media  atura a 1.5m";"8.32";"1";"ºC"
"23/01/2023";"Lluvia";"0.0";"1";"L/m2"
"23/01/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"23/01/2023";"Temperatura media  atura a 1.5m";"7.63";"1";"ºC"
"24/01/2023";"Lluvia";"0.0";"1";"L/m2"
"24/01/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"24/01/2023";"Temperatura media  atura a 1.5m";"10.07";"1";"ºC"
"25/01/2023";"Lluvia";"0.0";"1";"L/m2"
