Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Campus Lugo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/01/2023";"Lluvia";"65.0";"1";"L/m2"
"01/01/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"01/01/2023";"Temperatura media  atura a 1.5m";"9.60";"1";"ºC"
"02/01/2023";"Lluvia";"0.0";"1";"L/m2"
"02/01/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"02/01/2023";"Temperatura media  atura a 1.5m";"5.84";"1";"ºC"
"03/01/2023";"Lluvia";"0.0";"1";"L/m2"
"03/01/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"03/01/2023";"Temperatura media  atura a 1.5m";"5.10";"1";"ºC"
"04/01/2023";"Lluvia";"0.0";"1";"L/m2"
"04/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"04/01/2023";"Temperatura media  atura a 1.5m";"8.34";"1";"ºC"
"05/01/2023";"Lluvia";"0.0";"1";"L/m2"
"05/01/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"05/01/2023";"Temperatura media  atura a 1.5m";"6.38";"1";"ºC"
"06/01/2023";"Lluvia";"0.0";"1";"L/m2"
"06/01/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"06/01/2023";"Temperatura media  atura a 1.5m";"5.14";"1";"ºC"
"07/01/2023";"Lluvia";"29.9";"1";"L/m2"
"07/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"07/01/2023";"Temperatura media  atura a 1.5m";"10.23";"1";"ºC"
"08/01/2023";"Lluvia";"18.1";"1";"L/m2"
"08/01/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"08/01/2023";"Temperatura media  atura a 1.5m";"9.45";"1";"ºC"
"09/01/2023";"Lluvia";"0.0";"1";"L/m2"
"09/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"09/01/2023";"Temperatura media  atura a 1.5m";"6.69";"1";"ºC"
"10/01/2023";"Lluvia";"2.5";"1";"L/m2"
"10/01/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"10/01/2023";"Temperatura media  atura a 1.5m";"10.43";"1";"ºC"
"11/01/2023";"Lluvia";"9.1";"1";"L/m2"
"11/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"11/01/2023";"Temperatura media  atura a 1.5m";"8.27";"1";"ºC"
"12/01/2023";"Lluvia";"0.0";"1";"L/m2"
"12/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"12/01/2023";"Temperatura media  atura a 1.5m";"5.89";"1";"ºC"
"13/01/2023";"Lluvia";"0.0";"1";"L/m2"
"13/01/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"13/01/2023";"Temperatura media  atura a 1.5m";"10.91";"1";"ºC"
"14/01/2023";"Lluvia";"5.7";"1";"L/m2"
"14/01/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"14/01/2023";"Temperatura media  atura a 1.5m";"11.98";"1";"ºC"
"15/01/2023";"Lluvia";"7.1";"1";"L/m2"
"15/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"15/01/2023";"Temperatura media  atura a 1.5m";"6.13";"1";"ºC"
"16/01/2023";"Lluvia";"31.7";"1";"L/m2"
"16/01/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"16/01/2023";"Temperatura media  atura a 1.5m";"10.32";"1";"ºC"
"17/01/2023";"Lluvia";"24.4";"1";"L/m2"
"17/01/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"17/01/2023";"Temperatura media  atura a 1.5m";"4.49";"1";"ºC"
"18/01/2023";"Lluvia";"16.0";"1";"L/m2"
"18/01/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"18/01/2023";"Temperatura media  atura a 1.5m";"2.69";"1";"ºC"
"19/01/2023";"Lluvia";"17.2";"1";"L/m2"
"19/01/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"19/01/2023";"Temperatura media  atura a 1.5m";"5.81";"1";"ºC"
"20/01/2023";"Lluvia";"3.4";"1";"L/m2"
"20/01/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"20/01/2023";"Temperatura media  atura a 1.5m";"10.10";"1";"ºC"
"21/01/2023";"Lluvia";"0.5";"1";"L/m2"
"21/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"21/01/2023";"Temperatura media  atura a 1.5m";"8.51";"1";"ºC"
"22/01/2023";"Lluvia";"0.0";"1";"L/m2"
"22/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"22/01/2023";"Temperatura media  atura a 1.5m";"2.11";"1";"ºC"
"23/01/2023";"Lluvia";"0.0";"1";"L/m2"
"23/01/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"23/01/2023";"Temperatura media  atura a 1.5m";"2.71";"1";"ºC"
"24/01/2023";"Lluvia";"0.0";"1";"L/m2"
"24/01/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"24/01/2023";"Temperatura media  atura a 1.5m";"4.67";"1";"ºC"
"25/01/2023";"Lluvia";"0.0";"1";"L/m2"
"25/01/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"25/01/2023";"Temperatura media  atura a 1.5m";"4.70";"1";"ºC"
"26/01/2023";"Lluvia";"5.5";"1";"L/m2"
"26/01/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"26/01/2023";"Temperatura media  atura a 1.5m";"5.59";"1";"ºC"
"27/01/2023";"Lluvia";"2.9";"1";"L/m2"
"27/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"27/01/2023";"Temperatura media  atura a 1.5m";"5.23";"1";"ºC"
"28/01/2023";"Lluvia";"0.0";"1";"L/m2"
"28/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"28/01/2023";"Temperatura media  atura a 1.5m";"3.94";"1";"ºC"
"29/01/2023";"Lluvia";"0.0";"1";"L/m2"
"29/01/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"29/01/2023";"Temperatura media  atura a 1.5m";"3.59";"1";"ºC"
"30/01/2023";"Lluvia";"0.0";"1";"L/m2"
"30/01/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"30/01/2023";"Temperatura media  atura a 1.5m";"1.83";"1";"ºC"
"31/01/2023";"Lluvia";"0.0";"1";"L/m2"
"31/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"2.31";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"3.55";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
"02/02/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"02/02/2023";"Temperatura media  atura a 1.5m";"2.23";"1";"ºC"
"03/02/2023";"Lluvia";"0.0";"1";"L/m2"
