Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Ourense";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/01/2023";"Lluvia";"48.8";"1";"L/m2"
"01/01/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"01/01/2023";"Temperatura media  atura a 1.5m";"11.17";"1";"ºC"
"02/01/2023";"Lluvia";"0.0";"1";"L/m2"
"02/01/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"02/01/2023";"Temperatura media  atura a 1.5m";"7.27";"1";"ºC"
"03/01/2023";"Lluvia";"0.0";"1";"L/m2"
"03/01/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"03/01/2023";"Temperatura media  atura a 1.5m";"4.87";"1";"ºC"
"04/01/2023";"Lluvia";"0.0";"1";"L/m2"
"04/01/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"04/01/2023";"Temperatura media  atura a 1.5m";"5.21";"1";"ºC"
"05/01/2023";"Lluvia";"0.0";"1";"L/m2"
"05/01/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"05/01/2023";"Temperatura media  atura a 1.5m";"4.42";"1";"ºC"
"06/01/2023";"Lluvia";"0.0";"1";"L/m2"
"06/01/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"06/01/2023";"Temperatura media  atura a 1.5m";"5.68";"1";"ºC"
"07/01/2023";"Lluvia";"17.2";"1";"L/m2"
"07/01/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"07/01/2023";"Temperatura media  atura a 1.5m";"12.15";"1";"ºC"
"08/01/2023";"Lluvia";"18.8";"1";"L/m2"
"08/01/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"08/01/2023";"Temperatura media  atura a 1.5m";"11.79";"1";"ºC"
"09/01/2023";"Lluvia";"0.0";"1";"L/m2"
"09/01/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"09/01/2023";"Temperatura media  atura a 1.5m";"8.33";"1";"ºC"
"10/01/2023";"Lluvia";"0.6";"1";"L/m2"
"10/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"10/01/2023";"Temperatura media  atura a 1.5m";"10.16";"1";"ºC"
"11/01/2023";"Lluvia";"11.0";"1";"L/m2"
"11/01/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"11/01/2023";"Temperatura media  atura a 1.5m";"9.90";"1";"ºC"
"12/01/2023";"Lluvia";"0.0";"1";"L/m2"
"12/01/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"12/01/2023";"Temperatura media  atura a 1.5m";"5.73";"1";"ºC"
"13/01/2023";"Lluvia";"0.0";"1";"L/m2"
"13/01/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"13/01/2023";"Temperatura media  atura a 1.5m";"11.93";"1";"ºC"
"14/01/2023";"Lluvia";"1.0";"1";"L/m2"
"14/01/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"14/01/2023";"Temperatura media  atura a 1.5m";"13.33";"1";"ºC"
"15/01/2023";"Lluvia";"9.0";"1";"L/m2"
"15/01/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"15/01/2023";"Temperatura media  atura a 1.5m";"8.56";"1";"ºC"
"16/01/2023";"Lluvia";"12.2";"1";"L/m2"
"16/01/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"16/01/2023";"Temperatura media  atura a 1.5m";"12.14";"1";"ºC"
"17/01/2023";"Lluvia";"9.0";"1";"L/m2"
"17/01/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"17/01/2023";"Temperatura media  atura a 1.5m";"7.74";"1";"ºC"
"18/01/2023";"Lluvia";"7.4";"1";"L/m2"
"18/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"18/01/2023";"Temperatura media  atura a 1.5m";"4.72";"1";"ºC"
"19/01/2023";"Lluvia";"8.4";"1";"L/m2"
"19/01/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"19/01/2023";"Temperatura media  atura a 1.5m";"6.11";"1";"ºC"
"20/01/2023";"Lluvia";"1.0";"1";"L/m2"
"20/01/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"20/01/2023";"Temperatura media  atura a 1.5m";"11.71";"1";"ºC"
"21/01/2023";"Lluvia";"0.0";"1";"L/m2"
"21/01/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"21/01/2023";"Temperatura media  atura a 1.5m";"10.38";"1";"ºC"
"22/01/2023";"Lluvia";"0.0";"1";"L/m2"
"22/01/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"22/01/2023";"Temperatura media  atura a 1.5m";"3.58";"1";"ºC"
"23/01/2023";"Lluvia";"0.0";"1";"L/m2"
"23/01/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"23/01/2023";"Temperatura media  atura a 1.5m";"3.52";"1";"ºC"
"24/01/2023";"Lluvia";"0.0";"1";"L/m2"
"24/01/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"24/01/2023";"Temperatura media  atura a 1.5m";"4.17";"1";"ºC"
"25/01/2023";"Lluvia";"0.0";"1";"L/m2"
"25/01/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"25/01/2023";"Temperatura media  atura a 1.5m";"3.71";"1";"ºC"
"26/01/2023";"Lluvia";"2.4";"1";"L/m2"
"26/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"26/01/2023";"Temperatura media  atura a 1.5m";"4.08";"1";"ºC"
"27/01/2023";"Lluvia";"0.0";"1";"L/m2"
"27/01/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"27/01/2023";"Temperatura media  atura a 1.5m";"5.74";"1";"ºC"
"28/01/2023";"Lluvia";"0.0";"1";"L/m2"
"28/01/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"28/01/2023";"Temperatura media  atura a 1.5m";"4.88";"1";"ºC"
"29/01/2023";"Lluvia";"0.0";"1";"L/m2"
"29/01/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"29/01/2023";"Temperatura media  atura a 1.5m";"3.92";"1";"ºC"
"30/01/2023";"Lluvia";"0.0";"1";"L/m2"
"30/01/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"30/01/2023";"Temperatura media  atura a 1.5m";"2.97";"1";"ºC"
"31/01/2023";"Lluvia";"0.0";"1";"L/m2"
"31/01/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"2.77";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"3.64";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
"02/02/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"02/02/2023";"Temperatura media  atura a 1.5m";"4.72";"1";"ºC"
"03/02/2023";"Lluvia";"0.0";"1";"L/m2"
"03/02/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"03/02/2023";"Temperatura media  atura a 1.5m";"3.93";"1";"ºC"
"04/02/2023";"Lluvia";"0.0";"1";"L/m2"
"04/02/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"04/02/2023";"Temperatura media  atura a 1.5m";"5.00";"1";"ºC"
"05/02/2023";"Lluvia";"0.0";"1";"L/m2"
"05/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"05/02/2023";"Temperatura media  atura a 1.5m";"5.96";"1";"ºC"
"06/02/2023";"Lluvia";"0.0";"1";"L/m2"
"06/02/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"06/02/2023";"Temperatura media  atura a 1.5m";"5.29";"1";"ºC"
"07/02/2023";"Lluvia";"0.0";"1";"L/m2"
"07/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"07/02/2023";"Temperatura media  atura a 1.5m";"4.59";"1";"ºC"
"08/02/2023";"Lluvia";"0.0";"1";"L/m2"
"08/02/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"08/02/2023";"Temperatura media  atura a 1.5m";"7.90";"1";"ºC"
"09/02/2023";"Lluvia";"0.0";"1";"L/m2"
"09/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"09/02/2023";"Temperatura media  atura a 1.5m";"5.74";"1";"ºC"
