Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Pontevedra-Campolongo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/01/2023";"Lluvia";"55.4";"1";"L/m2"
"01/01/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"01/01/2023";"Temperatura media  atura a 1.5m";"12.10";"1";"ºC"
"02/01/2023";"Lluvia";"1.0";"1";"L/m2"
"02/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"02/01/2023";"Temperatura media  atura a 1.5m";"9.08";"1";"ºC"
"03/01/2023";"Lluvia";"0.0";"1";"L/m2"
"03/01/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"03/01/2023";"Temperatura media  atura a 1.5m";"9.10";"1";"ºC"
"04/01/2023";"Lluvia";"0.0";"1";"L/m2"
"04/01/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"04/01/2023";"Temperatura media  atura a 1.5m";"11.55";"1";"ºC"
"05/01/2023";"Lluvia";"0.0";"1";"L/m2"
"05/01/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"05/01/2023";"Temperatura media  atura a 1.5m";"9.53";"1";"ºC"
"06/01/2023";"Lluvia";"0.0";"1";"L/m2"
"06/01/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"06/01/2023";"Temperatura media  atura a 1.5m";"9.92";"1";"ºC"
"07/01/2023";"Lluvia";"54.7";"1";"L/m2"
"07/01/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"07/01/2023";"Temperatura media  atura a 1.5m";"13.94";"1";"ºC"
"08/01/2023";"Lluvia";"39.3";"1";"L/m2"
"08/01/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"08/01/2023";"Temperatura media  atura a 1.5m";"12.99";"1";"ºC"
"09/01/2023";"Lluvia";"0.0";"1";"L/m2"
"09/01/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"09/01/2023";"Temperatura media  atura a 1.5m";"10.19";"1";"ºC"
"10/01/2023";"Lluvia";"13.1";"1";"L/m2"
"10/01/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"10/01/2023";"Temperatura media  atura a 1.5m";"13.06";"1";"ºC"
"11/01/2023";"Lluvia";"4.9";"1";"L/m2"
"11/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"11/01/2023";"Temperatura media  atura a 1.5m";"12.00";"1";"ºC"
"12/01/2023";"Lluvia";"0.0";"1";"L/m2"
"12/01/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"12/01/2023";"Temperatura media  atura a 1.5m";"10.18";"1";"ºC"
"13/01/2023";"Lluvia";"2.6";"1";"L/m2"
"13/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"13/01/2023";"Temperatura media  atura a 1.5m";"12.97";"1";"ºC"
"14/01/2023";"Lluvia";"3.7";"1";"L/m2"
