Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/01/2023";"Lluvia";"38.1";"1";"L/m2"
"01/01/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"01/01/2023";"Temperatura media  atura a 1.5m";"10.06";"1";"ºC"
"02/01/2023";"Lluvia";"0.5";"1";"L/m2"
"02/01/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"02/01/2023";"Temperatura media  atura a 1.5m";"7.85";"1";"ºC"
"03/01/2023";"Lluvia";"0.0";"1";"L/m2"
"03/01/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"03/01/2023";"Temperatura media  atura a 1.5m";"8.68";"1";"ºC"
"04/01/2023";"Lluvia";"0.0";"1";"L/m2"
"04/01/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"04/01/2023";"Temperatura media  atura a 1.5m";"11.32";"1";"ºC"
"05/01/2023";"Lluvia";"0.0";"1";"L/m2"
"05/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"05/01/2023";"Temperatura media  atura a 1.5m";"9.46";"1";"ºC"
"06/01/2023";"Lluvia";"0.0";"1";"L/m2"
"06/01/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"06/01/2023";"Temperatura media  atura a 1.5m";"9.84";"1";"ºC"
"07/01/2023";"Lluvia";"54.5";"1";"L/m2"
"07/01/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"07/01/2023";"Temperatura media  atura a 1.5m";"11.65";"1";"ºC"
"08/01/2023";"Lluvia";"14.4";"1";"L/m2"
"08/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"08/01/2023";"Temperatura media  atura a 1.5m";"10.45";"1";"ºC"
"09/01/2023";"Lluvia";"0.0";"1";"L/m2"
"09/01/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"09/01/2023";"Temperatura media  atura a 1.5m";"8.94";"1";"ºC"
"10/01/2023";"Lluvia";"30.1";"1";"L/m2"
"10/01/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"10/01/2023";"Temperatura media  atura a 1.5m";"11.67";"1";"ºC"
"11/01/2023";"Lluvia";"0.6";"1";"L/m2"
"11/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"11/01/2023";"Temperatura media  atura a 1.5m";"9.85";"1";"ºC"
"12/01/2023";"Lluvia";"1.1";"1";"L/m2"
"12/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"12/01/2023";"Temperatura media  atura a 1.5m";"9.69";"1";"ºC"
"13/01/2023";"Lluvia";"3.2";"1";"L/m2"
"13/01/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"13/01/2023";"Temperatura media  atura a 1.5m";"10.95";"1";"ºC"
"14/01/2023";"Lluvia";"21.4";"1";"L/m2"
"14/01/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"14/01/2023";"Temperatura media  atura a 1.5m";"12.02";"1";"ºC"
"15/01/2023";"Lluvia";"12.9";"1";"L/m2"
"15/01/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"15/01/2023";"Temperatura media  atura a 1.5m";"7.18";"1";"ºC"
"16/01/2023";"Lluvia";"25.7";"1";"L/m2"
"16/01/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"16/01/2023";"Temperatura media  atura a 1.5m";"11.10";"1";"ºC"
"17/01/2023";"Lluvia";"10.0";"1";"L/m2"
"17/01/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"17/01/2023";"Temperatura media  atura a 1.5m";"6.25";"1";"ºC"
"18/01/2023";"Lluvia";"4.6";"1";"L/m2"
"18/01/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"18/01/2023";"Temperatura media  atura a 1.5m";"4.88";"1";"ºC"
"19/01/2023";"Lluvia";"21.2";"1";"L/m2"
"19/01/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"19/01/2023";"Temperatura media  atura a 1.5m";"7.60";"1";"ºC"
"20/01/2023";"Lluvia";"1.4";"1";"L/m2"
"20/01/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"20/01/2023";"Temperatura media  atura a 1.5m";"11.51";"1";"ºC"
"21/01/2023";"Lluvia";"0.7";"1";"L/m2"
"21/01/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"21/01/2023";"Temperatura media  atura a 1.5m";"10.59";"1";"ºC"
"22/01/2023";"Lluvia";"0.0";"1";"L/m2"
"22/01/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"22/01/2023";"Temperatura media  atura a 1.5m";"6.15";"1";"ºC"
"23/01/2023";"Lluvia";"0.0";"1";"L/m2"
"23/01/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"23/01/2023";"Temperatura media  atura a 1.5m";"5.42";"1";"ºC"
"24/01/2023";"Lluvia";"0.0";"1";"L/m2"
"24/01/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"24/01/2023";"Temperatura media  atura a 1.5m";"6.39";"1";"ºC"
"25/01/2023";"Lluvia";"0.0";"1";"L/m2"
"25/01/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"25/01/2023";"Temperatura media  atura a 1.5m";"7.66";"1";"ºC"
"26/01/2023";"Lluvia";"1.5";"1";"L/m2"
"26/01/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"26/01/2023";"Temperatura media  atura a 1.5m";"7.40";"1";"ºC"
"27/01/2023";"Lluvia";"0.0";"1";"L/m2"
"27/01/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"27/01/2023";"Temperatura media  atura a 1.5m";"7.02";"1";"ºC"
"28/01/2023";"Lluvia";"0.0";"1";"L/m2"
"28/01/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"28/01/2023";"Temperatura media  atura a 1.5m";"5.59";"1";"ºC"
"29/01/2023";"Lluvia";"0.0";"1";"L/m2"
"29/01/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"29/01/2023";"Temperatura media  atura a 1.5m";"6.17";"1";"ºC"
"30/01/2023";"Lluvia";"0.0";"1";"L/m2"
"30/01/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"30/01/2023";"Temperatura media  atura a 1.5m";"5.16";"1";"ºC"
"31/01/2023";"Lluvia";"0.0";"1";"L/m2"
"31/01/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"5.83";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"7.70";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
