Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Porto de Vigo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/01/2023";"Lluvia";"54.2";"1";"L/m2"
"01/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"01/01/2023";"Temperatura media  atura a 1.5m";"13.06";"1";"ºC"
"02/01/2023";"Lluvia";"3.0";"1";"L/m2"
"02/01/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"02/01/2023";"Temperatura media  atura a 1.5m";"10.89";"1";"ºC"
"03/01/2023";"Lluvia";"0.0";"1";"L/m2"
"03/01/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"03/01/2023";"Temperatura media  atura a 1.5m";"11.28";"1";"ºC"
"04/01/2023";"Lluvia";"0.0";"1";"L/m2"
"04/01/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"04/01/2023";"Temperatura media  atura a 1.5m";"12.15";"1";"ºC"
"05/01/2023";"Lluvia";"0.0";"1";"L/m2"
"05/01/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"05/01/2023";"Temperatura media  atura a 1.5m";"11.40";"1";"ºC"
"06/01/2023";"Lluvia";"0.0";"1";"L/m2"
"06/01/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"06/01/2023";"Temperatura media  atura a 1.5m";"11.83";"1";"ºC"
"07/01/2023";"Lluvia";"27.4";"1";"L/m2"
"07/01/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"07/01/2023";"Temperatura media  atura a 1.5m";"14.50";"1";"ºC"
"08/01/2023";"Lluvia";"29.3";"1";"L/m2"
"08/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"08/01/2023";"Temperatura media  atura a 1.5m";"13.93";"1";"ºC"
"09/01/2023";"Lluvia";"0.0";"1";"L/m2"
"09/01/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"09/01/2023";"Temperatura media  atura a 1.5m";"12.59";"1";"ºC"
"10/01/2023";"Lluvia";"10.6";"1";"L/m2"
"10/01/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"10/01/2023";"Temperatura media  atura a 1.5m";"14.24";"1";"ºC"
"11/01/2023";"Lluvia";"4.2";"1";"L/m2"
"11/01/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"11/01/2023";"Temperatura media  atura a 1.5m";"12.83";"1";"ºC"
"12/01/2023";"Lluvia";"0.0";"1";"L/m2"
"12/01/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"12/01/2023";"Temperatura media  atura a 1.5m";"11.74";"1";"ºC"
"13/01/2023";"Lluvia";"1.6";"1";"L/m2"
"13/01/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"13/01/2023";"Temperatura media  atura a 1.5m";"13.78";"1";"ºC"
"14/01/2023";"Lluvia";"0.7";"1";"L/m2"
"14/01/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"14/01/2023";"Temperatura media  atura a 1.5m";"15.11";"1";"ºC"
"15/01/2023";"Lluvia";"1.4";"1";"L/m2"
"15/01/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"15/01/2023";"Temperatura media  atura a 1.5m";"11.24";"1";"ºC"
"16/01/2023";"Lluvia";"18.8";"1";"L/m2"
"16/01/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"16/01/2023";"Temperatura media  atura a 1.5m";"13.90";"1";"ºC"
"17/01/2023";"Lluvia";"17.9";"1";"L/m2"
"17/01/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"17/01/2023";"Temperatura media  atura a 1.5m";"10.58";"1";"ºC"
"18/01/2023";"Lluvia";"5.8";"1";"L/m2"
"18/01/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"18/01/2023";"Temperatura media  atura a 1.5m";"8.40";"1";"ºC"
"19/01/2023";"Lluvia";"46.6";"1";"L/m2"
"19/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"19/01/2023";"Temperatura media  atura a 1.5m";"10.41";"1";"ºC"
"20/01/2023";"Lluvia";"1.5";"1";"L/m2"
"20/01/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"20/01/2023";"Temperatura media  atura a 1.5m";"13.82";"1";"ºC"
"21/01/2023";"Lluvia";"0.0";"1";"L/m2"
"21/01/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"21/01/2023";"Temperatura media  atura a 1.5m";"13.61";"1";"ºC"
"22/01/2023";"Lluvia";"0.0";"1";"L/m2"
"22/01/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"22/01/2023";"Temperatura media  atura a 1.5m";"10.00";"1";"ºC"
"23/01/2023";"Lluvia";"0.0";"1";"L/m2"
"23/01/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"23/01/2023";"Temperatura media  atura a 1.5m";"8.99";"1";"ºC"
"24/01/2023";"Lluvia";"0.0";"1";"L/m2"
"24/01/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"24/01/2023";"Temperatura media  atura a 1.5m";"9.79";"1";"ºC"
"25/01/2023";"Lluvia";"0.0";"1";"L/m2"
"25/01/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"25/01/2023";"Temperatura media  atura a 1.5m";"9.70";"1";"ºC"
"26/01/2023";"Lluvia";"0.8";"1";"L/m2"
"26/01/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"26/01/2023";"Temperatura media  atura a 1.5m";"10.14";"1";"ºC"
"27/01/2023";"Lluvia";"0.0";"1";"L/m2"
"27/01/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"27/01/2023";"Temperatura media  atura a 1.5m";"10.42";"1";"ºC"
"28/01/2023";"Lluvia";"0.0";"1";"L/m2"
"28/01/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"28/01/2023";"Temperatura media  atura a 1.5m";"9.18";"1";"ºC"
"29/01/2023";"Lluvia";"0.0";"1";"L/m2"
"29/01/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"29/01/2023";"Temperatura media  atura a 1.5m";"8.99";"1";"ºC"
"30/01/2023";"Lluvia";"0.0";"1";"L/m2"
"30/01/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"30/01/2023";"Temperatura media  atura a 1.5m";"7.90";"1";"ºC"
"31/01/2023";"Lluvia";"0.0";"1";"L/m2"
"31/01/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"8.78";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"9.51";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
"02/02/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"02/02/2023";"Temperatura media  atura a 1.5m";"10.16";"1";"ºC"
"03/02/2023";"Lluvia";"0.0";"1";"L/m2"
"03/02/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"03/02/2023";"Temperatura media  atura a 1.5m";"10.52";"1";"ºC"
"04/02/2023";"Lluvia";"0.0";"1";"L/m2"
"04/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"04/02/2023";"Temperatura media  atura a 1.5m";"10.77";"1";"ºC"
"05/02/2023";"Lluvia";"0.0";"1";"L/m2"
"05/02/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"05/02/2023";"Temperatura media  atura a 1.5m";"11.87";"1";"ºC"
"06/02/2023";"Lluvia";"0.0";"1";"L/m2"
"06/02/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"06/02/2023";"Temperatura media  atura a 1.5m";"12.03";"1";"ºC"
"07/02/2023";"Lluvia";"0.0";"1";"L/m2"
"07/02/2023";"Humedad relativa media a 1.5m";"47";"1";"%"
"07/02/2023";"Temperatura media  atura a 1.5m";"11.56";"1";"ºC"
"08/02/2023";"Lluvia";"0.0";"1";"L/m2"
"08/02/2023";"Humedad relativa media a 1.5m";"53";"1";"%"
"08/02/2023";"Temperatura media  atura a 1.5m";"12.69";"1";"ºC"
"09/02/2023";"Lluvia";"0.0";"1";"L/m2"
"09/02/2023";"Humedad relativa media a 1.5m";"57";"1";"%"
"09/02/2023";"Temperatura media  atura a 1.5m";"12.55";"1";"ºC"
"10/02/2023";"Lluvia";"0.0";"1";"L/m2"
"10/02/2023";"Humedad relativa media a 1.5m";"49";"1";"%"
"10/02/2023";"Temperatura media  atura a 1.5m";"12.13";"1";"ºC"
"11/02/2023";"Lluvia";"0.0";"1";"L/m2"
"11/02/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"11/02/2023";"Temperatura media  atura a 1.5m";"11.05";"1";"ºC"
"12/02/2023";"Lluvia";"0.0";"1";"L/m2"
"12/02/2023";"Humedad relativa media a 1.5m";"47";"1";"%"
"12/02/2023";"Temperatura media  atura a 1.5m";"13.09";"1";"ºC"
"13/02/2023";"Lluvia";"0.0";"1";"L/m2"
"13/02/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"13/02/2023";"Temperatura media  atura a 1.5m";"14.77";"1";"ºC"
"14/02/2023";"Lluvia";"0.0";"1";"L/m2"
"14/02/2023";"Humedad relativa media a 1.5m";"58";"1";"%"
"14/02/2023";"Temperatura media  atura a 1.5m";"14.97";"1";"ºC"
"15/02/2023";"Lluvia";"0.0";"1";"L/m2"
"15/02/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"15/02/2023";"Temperatura media  atura a 1.5m";"14.62";"1";"ºC"
"16/02/2023";"Lluvia";"0.0";"1";"L/m2"
"16/02/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"16/02/2023";"Temperatura media  atura a 1.5m";"13.45";"1";"ºC"
"17/02/2023";"Lluvia";"0.0";"1";"L/m2"
"17/02/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"17/02/2023";"Temperatura media  atura a 1.5m";"15.00";"1";"ºC"
"18/02/2023";"Lluvia";"0.0";"1";"L/m2"
"18/02/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"18/02/2023";"Temperatura media  atura a 1.5m";"15.16";"1";"ºC"
"19/02/2023";"Lluvia";"0.0";"1";"L/m2"
"19/02/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"19/02/2023";"Temperatura media  atura a 1.5m";"14.77";"1";"ºC"
"20/02/2023";"Lluvia";"0.0";"1";"L/m2"
"20/02/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"20/02/2023";"Temperatura media  atura a 1.5m";"14.81";"1";"ºC"
"21/02/2023";"Lluvia";"0.0";"1";"L/m2"
"21/02/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"21/02/2023";"Temperatura media  atura a 1.5m";"13.90";"1";"ºC"
"22/02/2023";"Lluvia";"2.4";"1";"L/m2"
"22/02/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"22/02/2023";"Temperatura media  atura a 1.5m";"11.90";"1";"ºC"
"23/02/2023";"Lluvia";"0.5";"1";"L/m2"
"23/02/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"23/02/2023";"Temperatura media  atura a 1.5m";"8.03";"1";"ºC"
"24/02/2023";"Lluvia";"0.0";"1";"L/m2"
"24/02/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"24/02/2023";"Temperatura media  atura a 1.5m";"7.49";"1";"ºC"
"25/02/2023";"Lluvia";"2.6";"1";"L/m2"
"25/02/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"25/02/2023";"Temperatura media  atura a 1.5m";"7.92";"1";"ºC"
"26/02/2023";"Lluvia";"0.0";"1";"L/m2"
"26/02/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"26/02/2023";"Temperatura media  atura a 1.5m";"9.86";"1";"ºC"
"27/02/2023";"Lluvia";"0.0";"1";"L/m2"
"27/02/2023";"Humedad relativa media a 1.5m";"51";"1";"%"
"27/02/2023";"Temperatura media  atura a 1.5m";"9.23";"1";"ºC"
"28/02/2023";"Lluvia";"0.0";"1";"L/m2"
"28/02/2023";"Humedad relativa media a 1.5m";"52";"1";"%"
"28/02/2023";"Temperatura media  atura a 1.5m";"8.84";"1";"ºC"
"01/03/2023";"Lluvia";"0.0";"1";"L/m2"
"01/03/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"01/03/2023";"Temperatura media  atura a 1.5m";"8.65";"1";"ºC"
"02/03/2023";"Lluvia";"0.0";"1";"L/m2"
"02/03/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"02/03/2023";"Temperatura media  atura a 1.5m";"8.35";"1";"ºC"
"03/03/2023";"Lluvia";"0.0";"1";"L/m2"
"03/03/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"03/03/2023";"Temperatura media  atura a 1.5m";"9.54";"1";"ºC"
"04/03/2023";"Lluvia";"0.0";"1";"L/m2"
"04/03/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"04/03/2023";"Temperatura media  atura a 1.5m";"11.07";"1";"ºC"
"05/03/2023";"Lluvia";"3.8";"1";"L/m2"
"05/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"05/03/2023";"Temperatura media  atura a 1.5m";"10.21";"1";"ºC"
"06/03/2023";"Lluvia";"2.1";"1";"L/m2"
"06/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"06/03/2023";"Temperatura media  atura a 1.5m";"13.62";"1";"ºC"
"07/03/2023";"Lluvia";"2.3";"1";"L/m2"
"07/03/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"07/03/2023";"Temperatura media  atura a 1.5m";"14.55";"1";"ºC"
"08/03/2023";"Lluvia";"11.3";"1";"L/m2"
"08/03/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"08/03/2023";"Temperatura media  atura a 1.5m";"16.32";"1";"ºC"
"09/03/2023";"Lluvia";"9.5";"1";"L/m2"
"09/03/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"09/03/2023";"Temperatura media  atura a 1.5m";"15.29";"1";"ºC"
"10/03/2023";"Lluvia";"0.0";"1";"L/m2"
"10/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"10/03/2023";"Temperatura media  atura a 1.5m";"15.82";"1";"ºC"
"11/03/2023";"Lluvia";"0.3";"1";"L/m2"
"11/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"11/03/2023";"Temperatura media  atura a 1.5m";"16.69";"1";"ºC"
"12/03/2023";"Lluvia";"0.0";"1";"L/m2"
"12/03/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"12/03/2023";"Temperatura media  atura a 1.5m";"17.00";"1";"ºC"
"13/03/2023";"Lluvia";"3.6";"1";"L/m2"
"13/03/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"13/03/2023";"Temperatura media  atura a 1.5m";"14.99";"1";"ºC"
"14/03/2023";"Lluvia";"0.0";"1";"L/m2"
"14/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"14/03/2023";"Temperatura media  atura a 1.5m";"13.83";"1";"ºC"
"15/03/2023";"Lluvia";"0.0";"1";"L/m2"
"15/03/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"15/03/2023";"Temperatura media  atura a 1.5m";"13.52";"1";"ºC"
"16/03/2023";"Lluvia";"20.3";"1";"L/m2"
"16/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"16/03/2023";"Temperatura media  atura a 1.5m";"13.65";"1";"ºC"
"17/03/2023";"Lluvia";"11.5";"1";"L/m2"
"17/03/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"17/03/2023";"Temperatura media  atura a 1.5m";"13.65";"1";"ºC"
"18/03/2023";"Lluvia";"6.8";"1";"L/m2"
"18/03/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"18/03/2023";"Temperatura media  atura a 1.5m";"13.50";"1";"ºC"
"19/03/2023";"Lluvia";"0.0";"1";"L/m2"
"19/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"19/03/2023";"Temperatura media  atura a 1.5m";"13.07";"1";"ºC"
"20/03/2023";"Lluvia";"0.0";"1";"L/m2"
"20/03/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"20/03/2023";"Temperatura media  atura a 1.5m";"12.92";"1";"ºC"
"21/03/2023";"Lluvia";"0.5";"1";"L/m2"
"21/03/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"21/03/2023";"Temperatura media  atura a 1.5m";"13.59";"1";"ºC"
"22/03/2023";"Lluvia";"0.3";"1";"L/m2"
"22/03/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"22/03/2023";"Temperatura media  atura a 1.5m";"14.42";"1";"ºC"
"23/03/2023";"Lluvia";"11.9";"1";"L/m2"
"23/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"23/03/2023";"Temperatura media  atura a 1.5m";"15.08";"1";"ºC"
"24/03/2023";"Lluvia";"1.0";"1";"L/m2"
"24/03/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"24/03/2023";"Temperatura media  atura a 1.5m";"14.52";"1";"ºC"
"25/03/2023";"Lluvia";"2.7";"1";"L/m2"
"25/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"25/03/2023";"Temperatura media  atura a 1.5m";"14.01";"1";"ºC"
"26/03/2023";"Lluvia";"0.0";"1";"L/m2"
"26/03/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"26/03/2023";"Temperatura media  atura a 1.5m";"13.85";"1";"ºC"
"27/03/2023";"Lluvia";"0.0";"1";"L/m2"
"27/03/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"27/03/2023";"Temperatura media  atura a 1.5m";"13.57";"1";"ºC"
"28/03/2023";"Lluvia";"0.0";"1";"L/m2"
"28/03/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"28/03/2023";"Temperatura media  atura a 1.5m";"17.04";"1";"ºC"
"29/03/2023";"Lluvia";"0.0";"1";"L/m2"
"29/03/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"29/03/2023";"Temperatura media  atura a 1.5m";"19.01";"1";"ºC"
"30/03/2023";"Lluvia";"2.4";"1";"L/m2"
"30/03/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"30/03/2023";"Temperatura media  atura a 1.5m";"16.75";"1";"ºC"
"31/03/2023";"Lluvia";"1.0";"1";"L/m2"
"31/03/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"31/03/2023";"Temperatura media  atura a 1.5m";"15.28";"1";"ºC"
"01/04/2023";"Lluvia";"4.2";"1";"L/m2"
"01/04/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"01/04/2023";"Temperatura media  atura a 1.5m";"13.94";"1";"ºC"
"02/04/2023";"Lluvia";"0.0";"1";"L/m2"
"02/04/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"02/04/2023";"Temperatura media  atura a 1.5m";"13.71";"1";"ºC"
"03/04/2023";"Lluvia";"0.6";"1";"L/m2"
"03/04/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"03/04/2023";"Temperatura media  atura a 1.5m";"14.05";"1";"ºC"
"04/04/2023";"Lluvia";"0.0";"1";"L/m2"
"04/04/2023";"Humedad relativa media a 1.5m";"58";"1";"%"
"04/04/2023";"Temperatura media  atura a 1.5m";"17.02";"1";"ºC"
"05/04/2023";"Lluvia";"0.0";"1";"L/m2"
"05/04/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"05/04/2023";"Temperatura media  atura a 1.5m";"16.12";"1";"ºC"
